Time,Entropy
0.54,1.2916
1.54,0.9482
2.54,0.1883
3.54,1.6427
4.54,1.7047
5.54,0.5638
6.54,1.0466
7.54,1.1136
8.54,0.785
9.54,0.3924
10.54,1.5266
11.54,1.1886
12.54,1.1603
13.54,1.168
14.54,1.9093
15.54,1.1487
16.54,0.2208
17.54,1.9513
18.54,0.4704
19.54,1.5384
20.54,1.3838
21.54,0.198
22.54,0.9329
23.54,0.484
24.54,1.7243
25.54,0.3525
26.54,0.6838
27.54,0.5714
28.54,0.4767
29.54,0.0695
30.54,1.0839
31.54,1.9155
32.54,0.7677
33.54,0.7687
34.54,1.4244
35.54,1.1132
36.54,0.812
37.54,1.4416
38.54,1.8268
39.54,1.115
40.54,0.7602
41.54,0.4782
42.54,1.7664
43.54,0.0173
44.54,0.8732
45.54,0.0021
46.54,0.0599
47.54,1.4925
48.54,1.8841
49.54,0.8008
50.54,0.2661
51.54,0.0857
52.54,0.1317
53.54,1.7919
54.54,1.5517
55.54,1.0872
56.54,1.8097
57.54,1.682
58.54,0.5369
59.54,1.835
