Cue,Response,Correct,Reaction Time,Game Time
triangle,right,True,0.599,0.6
square,right,True,0.562,1.59
circle,left,True,0.464,2.52
circle,left,True,0.33,3.41
circle,left,True,0.332,4.44
triangle,left,False,0.334,5.48
triangle,left,False,0.397,6.57
square,right,True,0.43,7.62
hexagon,right,True,0.461,8.68
hexagon,right,True,0.364,9.61
square,right,True,0.434,10.71
hexagon,right,True,0.463,11.77
circle,right,False,0.365,12.69
square,left,False,0.397,13.75
square,right,True,0.532,14.91
circle,left,True,0.466,15.87
hexagon,right,True,0.53,16.97
triangle,right,True,0.563,18.03
square,right,True,0.463,18.96
hexagon,right,True,0.43,19.95
hexagon,right,True,0.429,20.98
square,right,True,0.463,22.04
circle,left,True,0.33,22.94
square,left,False,0.43,24.06
square,right,True,0.463,25.12
circle,left,True,0.598,26.28
circle,left,True,0.597,27.31
hexagon,right,True,0.465,28.2
triangle,right,True,0.463,29.23
triangle,right,True,0.464,30.25
triangle,right,True,0.363,31.18
hexagon,right,True,0.467,32.31
hexagon,right,True,0.4,33.28
triangle,right,True,0.429,34.33
square,right,True,0.496,35.43
square,right,True,0.398,36.35
circle,left,True,0.497,37.48
triangle,right,True,0.463,38.47
square,right,True,0.461,39.49
circle,left,True,0.561,40.62
hexagon,right,True,0.465,41.55
square,right,True,0.528,42.64
circle,left,True,0.563,43.7
triangle,right,True,0.463,44.62
square,right,True,0.496,45.68
hexagon,right,True,0.497,46.71
hexagon,right,True,0.5,47.74
circle,left,True,0.53,48.8
triangle,right,True,0.529,49.83
triangle,right,True,0.594,50.91
hexagon,right,True,0.564,51.91
hexagon,right,True,0.467,52.84
circle,left,True,0.431,53.84
triangle,right,True,0.594,55.02
circle,left,True,0.563,56.02
square,right,True,0.429,56.91
circle,left,True,0.596,58.1
hexagon,right,True,0.398,58.93
triangle,right,True,0.464,60.03
