
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.68,1.2183
1.68,1.8425
2.68,0.8314
3.68,1.5228
4.68,1.1634
5.68,1.7551
6.68,1.182
7.68,0.7298
8.68,0.7305
9.68,1.7025
10.68,1.6508
11.68,1.8756
12.68,0.2466
13.68,1.9762
14.68,1.6396
15.68,0.753
16.68,1.4999
17.68,1.5097
18.68,1.3976
19.68,1.7259
20.68,0.6827
21.68,0.4647
22.68,0.8764
23.68,0.0631
24.68,1.6028
25.68,1.6822
26.68,0.1993
27.68,1.9026
28.68,0.68
29.68,0.5773
30.68,0.1366
31.68,1.6107
32.68,1.1511
33.68,1.756
34.68,1.1099
35.68,1.9956
36.68,0.7504
37.68,1.4705
38.68,1.7747
39.68,1.7865
40.68,1.058
41.68,0.3475
42.68,0.2337
43.68,0.8078
44.68,0.5352

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.5,1.966
1.5,0.9516
2.5,1.4416
3.5,0.5304
4.5,0.2427
5.5,0.5702
6.5,1.0659
7.5,0.8854
8.5,0.1936
9.5,0.0145
10.5,0.6334
11.5,1.4173
12.5,1.4807
13.5,0.8802
14.5,0.1066
15.5,0.2233
16.5,0.5381
17.5,0.736
18.5,0.1046
19.5,1.7029
20.5,0.4184
21.5,1.9053
22.5,0.8125
23.5,1.093
24.5,1.0516
25.5,1.1686
26.5,1.7808
27.5,1.7079
28.5,1.4081
29.5,1.7781
30.5,0.4642
31.5,1.2926
32.5,0.9624
33.5,1.4681
34.5,0.3448
35.5,0.0808
36.5,0.7115
37.5,0.7306
38.5,1.052
39.5,0.7884
40.5,1.725
41.5,1.9666
42.5,1.8878
43.5,1.7005
44.5,1.7996

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.32,1.931
1.32,1.4307
2.32,1.0618
3.32,1.6696
4.32,0.1333
5.32,0.7048
6.32,1.5422
7.32,1.2906
8.32,0.5034
9.32,0.1449
10.32,1.79
11.32,1.8961
12.32,0.964
13.32,0.5151
14.32,1.9276
15.32,1.4167
16.32,0.4934
17.32,0.7147
18.32,0.7136
19.32,0.242
20.32,1.0008
21.32,1.9191
22.32,0.2217
23.32,1.2419
24.32,1.1046
25.32,1.0628
26.32,0.0382
27.32,0.8237
28.32,1.0083
29.32,1.9296
30.32,0.7152
31.32,0.7523
32.32,0.8855
33.32,0.2269
34.32,0.6521
35.32,0.9379
36.32,1.3865
37.32,0.9055
38.32,0.8633
39.32,1.3969
40.32,1.1054
41.32,0.7725
42.32,0.7029
43.32,0.1206
44.32,0.0001

Level: target_lvl1
Time,Entropy
0.32,0.9609
1.32,1.8254
2.32,0.6254
3.32,0.0241
4.32,1.9789
5.32,1.0655
6.32,1.408
7.32,0.8375
8.32,0.3413
9.32,0.6799
10.32,1.3603
11.32,1.0668
12.32,0.2846
13.32,1.2431
14.32,1.6111
15.32,1.8268
16.32,1.4959
17.32,0.9652
18.32,0.3093
19.32,1.9333
20.32,0.9297
21.32,0.3226
22.32,0.1412
23.32,0.9034
24.32,0.1024
25.32,1.7201
26.32,0.4436
27.32,0.9313
28.32,1.587
29.32,1.0445
30.32,0.1636
31.32,0.2908
32.32,0.5196
33.32,0.0833
34.32,1.7657
35.32,1.8931
36.32,0.4076
37.32,1.6751
38.32,1.1652
39.32,1.4789
40.32,1.0965
41.32,1.2547
42.32,1.6929
43.32,0.7904
44.32,1.0859
45.32,1.3334
46.32,0.0445
47.32,0.0007
48.32,1.3268
49.32,0.2263
50.32,0.0716
51.32,0.2725
52.32,0.2984
53.32,1.936
54.32,0.571
55.32,1.138
56.32,1.5917
57.32,1.0542
58.32,0.7082
59.32,1.6245
60.32,1.2037
61.32,1.4497
62.32,0.5295
63.32,0.95
64.32,1.4043
65.32,0.9879
66.32,1.5933
67.32,1.366
68.32,1.8518
69.32,1.423
70.32,1.9515
71.32,0.566
72.32,0.7878
73.32,1.8085
74.32,1.4501
75.32,1.5878
76.32,1.2931
77.32,1.2541
78.32,1.1328
79.32,0.8094
80.32,0.4499
81.32,1.1196
82.32,0.2709
83.32,1.4158
84.32,1.0166
85.32,0.472
86.32,0.6484
87.32,0.9955
88.32,0.6256
89.32,0.1612
90.32,1.7115
91.32,1.6849
92.32,1.705
93.32,0.3317
94.32,0.5516
95.32,0.2274
96.32,1.6778
97.32,1.7175
98.32,0.0593
99.32,0.5325
100.32,0.8722
101.32,0.2515
102.32,1.6857
103.32,0.0443
104.32,0.3814
105.32,0.1197
106.32,0.4603
107.32,0.6762
108.32,0.6952
109.32,1.1935
110.32,1.666
111.32,1.1926
112.32,0.025
113.32,1.1811
114.32,0.5909
115.32,0.9192
116.32,0.1149
117.32,0.9031
118.32,1.016
119.32,1.0025
