Time,Shape,Color,PressedKey,Result
2.29,circle,yellow,LEFT,correct
3.91,square,grey,RIGHT,wrong
6.8,square,red,RIGHT,wrong
8.09,square,pink,RIGHT,wrong
9.97,triangle,orange,RIGHT,correct
11.27,square,pink,RIGHT,wrong
12.72,circle,pink,LEFT,correct
17.42,triangle,grey,RIGHT,correct
18.78,triangle,white,RIGHT,correct
20.36,circle,blue,LEFT,correct
21.79,circle,blue,LEFT,correct
23.54,triangle,pink,RIGHT,correct
24.97,circle,red,LEFT,correct
26.49,circle,green,LEFT,correct
27.98,circle,yellow,LEFT,correct
29.47,circle,yellow,LEFT,correct
30.92,triangle,blue,RIGHT,correct
33.94,circle,yellow,LEFT,correct
35.63,triangle,white,RIGHT,correct
37.22,square,blue,RIGHT,wrong
40.1,triangle,orange,LEFT,wrong
41.86,circle,red,LEFT,correct
44.74,circle,green,LEFT,correct
