Time,Entropy
0.59,0.9735
1.59,0.2249
2.59,0.061
3.59,0.9655
4.59,0.5471
5.59,0.2226
6.59,1.8427
7.59,1.5973
8.59,0.4074
9.59,0.7232
10.59,1.1536
11.59,0.8604
12.59,0.6713
13.59,0.5163
14.59,1.6724
15.59,1.0504
16.59,0.7498
17.59,0.1063
18.59,0.4787
19.59,0.2217
20.59,0.5168
21.59,1.1836
22.59,1.4529
23.59,1.5962
24.59,0.8418
25.59,1.2635
26.59,0.8398
27.59,0.4263
28.59,1.3854
29.59,1.1819
30.59,1.5257
31.59,1.9186
32.59,0.4443
33.59,0.973
34.59,0.5165
35.59,0.3507
36.59,1.8269
37.59,0.3821
38.59,0.4598
39.59,0.3837
40.59,0.8133
41.59,0.0966
42.59,1.3484
43.59,0.0721
44.59,0.8908
45.59,1.5035
46.59,0.0801
47.59,1.4027
48.59,1.2421
49.59,0.9833
50.59,1.9302
51.59,1.9197
52.59,1.7621
53.59,1.134
54.59,0.5758
55.59,0.9355
56.59,1.9
57.59,1.564
58.59,0.6522
59.59,1.0676
