Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.42,0.1927
1.42,0.8005
2.42,1.2658
3.42,0.0637
4.42,0.4049
5.42,0.8827
6.42,1.678
7.42,0.2179
8.42,1.7947
9.42,1.2473
10.42,0.8334
11.42,0.5988
12.42,0.436
13.42,1.7211
14.42,1.5898
15.42,0.1607
16.42,0.3992
17.42,0.1914
18.42,0.6468
19.42,0.9052
20.42,1.7039
21.42,1.2088
22.42,0.1104
23.42,1.4949
24.42,0.6643
25.42,1.1516
26.42,1.9994
27.42,1.7811
28.42,1.0363
29.42,1.4028
30.42,0.1257
31.42,0.6297
32.42,1.1717
33.42,1.8992
34.42,0.9112
35.42,1.2447
36.42,1.2932
37.42,1.4265
38.42,1.1024
39.42,0.4622
40.42,0.0794
41.42,0.4842
42.42,0.3789
43.42,1.9325
44.42,1.5022
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.21,0.8341
1.21,1.7842
2.21,0.1128
3.21,0.8765
4.21,0.4204
5.21,0.7305
6.21,0.0666
7.21,1.5408
8.21,0.8241
9.21,0.675
10.21,0.7217
11.21,1.2112
12.21,1.7505
13.21,0.0979
14.21,1.6982
15.21,0.5577
16.21,1.9684
17.21,1.2778
18.21,0.0395
19.21,0.0848
20.21,0.0559
21.21,1.1353
22.21,0.9789
23.21,1.86
24.21,1.3249
25.21,1.3039
26.21,1.632
27.21,0.995
28.21,1.1698
29.21,1.6713
30.21,1.627
31.21,0.0586
32.21,0.1006
33.21,0.5225
34.21,0.2084
35.21,0.3635
36.21,1.5899
37.21,1.1942
38.21,0.1234
39.21,0.8854
40.21,1.3782
41.21,0.6946
42.21,0.2253
43.21,1.397
44.21,0.3814
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.01,0.7672
1.01,1.1172
2.01,0.4626
3.01,0.4711
4.01,1.2359
5.01,0.5239
6.01,0.6909
7.01,1.6934
8.01,0.4104
9.01,1.5491
10.01,1.4719
11.01,1.9053
12.01,1.0343
13.01,1.853
14.01,1.9276
15.01,1.7008
16.01,0.2347
17.01,0.3264
18.01,0.5777
19.01,1.6087
20.01,1.0688
21.01,1.6621
22.01,0.8167
23.01,0.2014
24.01,1.4506
25.01,1.5517
26.01,0.9581
27.01,0.4596
28.01,0.5286
29.01,1.4859
30.01,1.2404
31.01,0.293
32.01,0.0742
33.01,0.5073
34.01,0.41
35.01,1.0368
36.01,1.6605
37.01,1.789
38.01,0.9657
39.01,1.8728
40.01,1.0482
41.01,1.6125
42.01,1.5316
43.01,1.5561
44.01,0.3457
45.01,0.9242
