Time,Entropy
0.64,1.1723
1.64,0.4489
2.64,0.2473
3.64,1.4093
4.64,0.3282
5.64,1.2949
6.64,1.0877
7.64,0.6917
8.64,0.752
9.64,0.2515
10.64,0.6391
11.64,0.2105
12.64,0.9002
13.64,1.8224
14.64,0.2268
15.64,1.4388
16.64,0.1505
17.64,1.5686
18.64,1.8848
19.64,1.9391
20.64,0.0174
21.64,1.2353
22.64,0.3136
23.64,1.0805
24.64,1.6661
25.64,1.9492
26.64,1.7577
27.64,0.1988
28.64,1.8953
29.64,0.2183
30.64,0.603
31.64,0.482
32.64,0.1157
33.64,1.6656
34.64,0.6824
35.64,1.5297
36.64,1.974
37.64,1.5782
38.64,0.3489
39.64,1.3115
40.64,1.7938
41.64,1.4969
42.64,0.8724
43.64,1.7953
44.64,0.1127
45.65,1.0635
46.64,1.1148
47.64,0.3187
48.64,1.611
49.64,1.196
50.64,0.7965
51.64,0.3599
52.64,0.827
53.64,0.628
54.64,0.2139
55.64,0.9768
56.64,1.5273
57.64,0.3004
58.64,1.0354
59.65,1.3605
60.64,1.8293
61.64,0.0322
62.64,1.2416
63.64,0.2205
64.64,0.3954
65.64,1.2054
66.64,0.6839
67.64,1.0943
68.64,0.9887
69.64,1.7904
70.64,0.1046
71.64,0.2356
72.64,1.6039
73.64,0.7328
74.64,1.4316
75.64,1.9571
76.64,0.2297
77.64,0.1568
78.64,1.6233
79.64,0.31
80.64,1.1478
81.64,0.8798
82.64,1.9512
83.64,0.2388
84.64,0.9213
85.64,1.4037
86.64,1.6211
87.64,0.5327
88.64,0.444
89.64,1.1341
90.64,1.0387
91.64,0.0355
92.64,1.734
93.64,0.767
94.64,1.5518
95.64,1.9208
96.64,1.431
97.64,0.5913
98.64,0.5155
99.64,1.692
100.64,1.3028
101.64,1.2353
102.64,0.8968
103.64,1.7762
104.64,1.2181
105.64,1.967
106.64,0.9259
107.64,0.695
108.64,1.1482
109.64,1.3683
110.64,0.2106
111.64,0.4919
112.64,1.0442
113.64,0.5797
114.64,1.6396
115.64,0.707
116.64,0.8036
117.64,0.9045
118.64,0.9394
119.64,0.9192
120.64,0.6031
121.64,0.3085
122.64,1.6868
123.64,0.649
124.64,0.3418
125.64,0.765
126.64,1.9671
127.64,1.8322
128.64,1.5811
129.64,0.8183
130.64,0.1355
131.64,0.4439
132.64,0.1257
133.64,0.153
134.64,1.0663
135.64,1.6556
136.64,1.9641
137.64,1.214
138.64,1.3081
139.64,0.3408
140.64,1.5458
141.64,1.9318
142.64,1.0894
143.64,0.7411
144.64,0.9192
145.64,1.3831
146.64,1.6219
147.64,0.9956
148.64,0.7795
149.64,0.6842
