=== Segment 1 Start: 22:38:16 | End: 22:38:18 ===
Time (s),x,y
1.93,20,60

=== Segment 2 Start: 22:38:18 | End: 22:38:48 ===
Time (s),x,y
0.07,20,100
0.79,60,100
0.86,100,100
1.39,100,140
1.45,100,180
3.71,60,180
3.77,20,180
5.02,20,220
5.09,20,260
5.55,60,260
5.62,100,260
5.69,140,260
5.75,180,260
8.2,140,260
8.67,180,260
9.13,180,300
9.2,180,340
9.26,180,380
9.33,180,420
12.56,180,460
12.63,180,500
13.1,140,500
13.16,100,500
13.23,60,500
13.3,20,500
13.89,20,540
14.81,20,580
15.28,60,580
15.34,100,580
15.41,140,580
15.47,180,580
15.54,220,580
15.61,260,580
15.67,300,580
15.74,340,580
16.46,340,540
16.53,340,500
16.6,340,460
16.66,340,420
17.13,300,420
17.19,260,420
17.72,260,380
17.79,260,340
17.86,260,300
17.92,260,260
18.25,300,260
18.32,340,260
18.98,340,220
19.04,340,180
19.11,340,140
19.44,340,100
19.51,340,60
19.58,340,20
19.97,380,20
20.04,420,20
20.1,460,20
20.17,500,20
20.5,500,60
20.57,500,100
20.63,500,140
20.7,500,180
20.97,460,180
21.03,420,180
22.09,420,220
22.15,420,260
22.48,460,260
22.55,500,260
22.61,540,260
22.68,580,260
23.14,580,220
23.21,580,180
23.61,620,180
23.67,660,180
23.94,660,220
24.6,660,260
25.0,700,260
25.07,740,260
25.86,740,300
25.92,740,340
26.26,700,340
26.32,660,380
26.39,620,420
27.38,580,420
27.91,580,380
27.97,580,340
28.24,540,340
28.3,500,340
28.64,500,380
28.7,500,420
29.03,460,420
29.1,420,420
29.56,420,380
29.63,420,340

=== Segment 3 Start: 22:38:48 | End: 22:39:13 ===
Time (s),x,y
1.39,420,380
1.46,420,420
1.52,420,460
3.64,420,420
3.71,420,380
3.77,420,340
4.1,420,380
4.17,420,420
4.5,460,420
5.09,500,420
5.42,500,380
5.49,500,340
5.75,540,340
5.82,580,340
6.02,580,380
6.08,580,420
6.81,620,420
6.88,660,420
7.27,660,380
8.27,660,340
8.66,700,340
8.73,740,340
9.59,740,300
9.65,740,260
9.72,740,220
10.18,740,260
10.25,740,300
11.04,740,260
11.11,740,220
12.04,740,260
12.5,700,260
12.56,660,260
13.03,660,220
13.1,660,180
13.29,620,180
13.36,580,180
13.62,580,220
13.69,580,260
14.02,540,260
14.08,500,260
14.15,460,260
14.22,420,260
14.81,420,220
14.88,420,180
15.14,460,180
15.21,500,180
15.47,460,180
15.54,420,140
16.13,420,180
16.2,420,220
16.53,460,180
16.59,500,140
17.39,500,100
17.45,500,60
17.52,500,20
17.92,460,20
17.98,420,20
18.05,380,20
18.58,340,20
18.65,300,20
19.04,340,60
19.44,340,100
19.51,340,140
19.57,340,180
19.64,340,220
19.7,340,260
20.1,300,260
20.16,260,260
20.43,260,300
20.49,260,340
20.56,260,380
20.63,260,420
20.69,260,460
20.76,260,500
21.16,260,460
21.62,300,420
21.95,340,420
22.15,340,460
22.61,340,500
23.4,340,540
23.47,300,580
24.0,260,580
24.07,220,580
24.92,180,580

=== Segment 4 Start: 22:39:13 | End: 22:39:15 ===
Time (s),x,y
0.07,140,580
0.86,180,580
0.92,220,580
0.99,260,580
1.25,300,580
1.32,340,580
1.72,340,540
1.78,340,500
1.85,340,460
2.25,340,420
2.64,300,420

=== Segment 5 Start: 22:39:15 | End: 22:39:20 ===
Time (s),x,y
0.66,260,420
1.06,260,380
1.13,260,340
1.19,260,300
1.26,260,260
1.86,300,260
1.93,340,260
2.32,340,220
2.39,340,180
2.46,340,140
2.53,340,100
2.59,340,60
2.66,340,20
2.99,300,20
3.05,260,20
3.12,220,20
3.18,180,20
3.25,140,20
3.98,180,20
4.84,180,60

=== Segment 6 Start: 22:39:20 | End: 22:39:31 ===
Time (s),x,y
0.06,180,100
1.39,180,60
1.45,180,20
1.72,220,20
1.78,260,20
1.85,300,20
1.92,340,20
1.98,380,20
2.05,420,20
2.11,460,20
2.18,500,20
2.91,500,60
2.97,500,100
3.04,500,140
3.3,460,180
3.37,420,220
3.77,460,260
4.16,500,260
4.69,540,260
4.76,580,260
5.15,580,220
5.22,580,180
5.88,620,180
5.95,660,180
6.28,660,220
6.34,660,260
6.81,700,260
6.88,740,260
7.34,740,300
7.4,740,340
7.87,700,340
7.94,660,340
8.13,660,380
8.2,660,420
8.6,620,420
8.66,580,420
9.0,580,380
9.07,580,340
9.26,540,340
9.33,500,340
9.46,500,380
9.53,500,420
9.92,460,420
9.99,420,420
10.32,420,460
10.39,420,500
10.65,460,500
10.72,500,500
10.78,540,500
10.85,580,500
10.91,620,500
10.98,660,500
11.05,700,500
11.11,740,500

=== Segment 7 Start: 22:39:31 | End: 22:39:39 ===
Time (s),x,y
0.73,700,500
0.79,660,500
0.86,620,500
1.12,580,500
1.19,540,500
1.26,500,500
1.39,460,500
1.46,420,500
1.85,420,460
1.92,420,420
2.18,460,420
2.58,500,380
2.65,540,340
3.17,580,340
3.31,580,380
4.36,580,420
4.76,620,420
4.83,660,380
5.22,660,340
5.56,700,340
5.62,740,340
6.09,740,300
6.15,740,260
6.22,740,220
6.55,740,180
6.61,740,140
6.68,740,100
6.94,700,100
7.01,660,100
7.08,620,100
7.41,580,100

=== Segment 8 Start: 22:39:39 | End: 22:39:46 ===
Time (s),x,y
0.6,620,100
0.66,660,100
0.73,700,100
0.79,740,100
0.99,740,140
1.06,740,180
1.12,740,220
1.19,740,260
2.05,740,300
2.12,740,340
3.04,700,340
3.11,660,340
3.44,660,380
3.5,660,420
3.77,620,420
3.83,580,420
4.3,580,380
4.36,580,340
4.56,540,340
4.63,500,340
4.76,500,380
4.82,500,420
5.22,460,420
5.29,420,420
5.55,420,460
5.62,420,500
5.82,460,500
5.88,500,500
5.95,540,500
6.02,580,500
6.08,620,500
6.15,660,500
6.21,700,500
6.28,740,500
6.61,740,540
6.68,740,580
7.01,700,580
7.07,660,580
7.14,620,580
7.2,580,580
7.27,540,580
7.6,500,580
7.66,460,580

=== Segment 9 Start: 22:39:46 | End: 22:40:04 ===
Time (s),x,y
0.07,420,580
0.92,460,580
0.99,500,580
1.06,540,580
1.12,580,580
1.19,620,580
1.25,660,580
1.32,700,580
1.39,740,580
1.65,740,540
1.72,740,500
1.85,700,500
1.92,660,500
2.44,620,500
2.51,580,500
2.58,540,500
2.64,500,500
2.71,460,500
2.77,420,500
3.17,420,460
3.24,420,420
3.5,460,420
