
Level: target_lvl2
Time,Entropy
0.45,0.9834
1.45,0.0719
2.45,1.9727
3.45,1.8974
4.45,0.8058
5.45,1.3059
6.45,1.3868
7.45,0.4115
8.45,1.898
9.45,0.7007
10.45,1.6748
11.45,0.2166
12.45,1.0951
13.45,0.5418
14.45,0.1395
15.45,0.7795
16.45,0.7168
17.45,0.5967
18.45,1.7352
19.45,1.2414
20.45,0.7336
21.45,0.5372
22.45,0.4992
23.44,1.0806
24.44,0.6402
25.45,0.8349
26.45,0.5287
27.45,0.4189
28.45,0.6078
29.45,0.1789
30.45,0.6296
31.45,1.2706
32.45,1.9002
33.45,0.5996
34.44,0.3532
35.45,1.0669
36.45,0.4679
37.45,0.9292
38.45,0.456
39.45,0.2588
40.45,1.0603
41.45,0.7748
42.45,1.8097
43.45,1.7245
44.45,0.293
45.45,1.1389
46.45,0.8844
47.45,1.9649
48.44,1.5504
49.45,1.5546
50.45,1.4586
51.45,0.2095
52.45,1.8972
53.45,1.8361
54.45,0.3434
55.45,0.4847
56.45,1.9189
57.45,1.2297
58.45,1.697
59.45,1.8666
60.45,0.6334
61.44,1.6588
62.45,1.5665
63.45,0.7094
64.45,0.2459
65.45,0.201
66.45,0.1619
67.45,1.6676
68.45,1.4893
69.45,1.2431
70.45,0.0063
71.45,0.257
72.45,1.8691
73.45,0.8336
74.45,0.0318
75.45,0.264
76.45,1.9319
77.45,0.236
78.45,0.9709
79.45,1.4912
80.45,1.4904
81.45,1.6899
82.45,1.4946
83.45,1.8709
84.45,1.8002
85.45,1.7903
86.44,0.8553
87.45,0.0334
88.45,0.7128
89.45,1.1398
90.45,1.8211
91.45,0.2778
92.45,0.7915
93.45,0.469
94.45,1.0065
95.45,0.0217
96.45,0.9477
97.45,0.7608
98.45,1.2
99.45,0.5262
100.45,1.2132
101.45,1.7705
102.45,1.7706
103.45,0.5784
104.45,0.4177
105.45,1.344
106.45,0.9252
107.45,1.7726
108.45,1.9047
109.45,0.7598
110.45,1.0874
111.45,0.3625
112.44,0.0898
113.45,0.3242
114.45,0.7516
115.45,0.5508
116.45,0.8826
117.45,1.5812
118.45,0.6929
119.45,0.8962
