
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.77,1.1659
1.77,1.0404
2.77,1.9285
3.77,0.3852
4.77,0.9861
5.77,0.7417
6.77,1.6479
7.77,1.9084
8.77,0.0754
9.77,0.1471
10.77,0.3459
11.77,1.6389
12.77,0.5187
13.77,0.0805
14.77,0.5839
15.77,0.4312
16.77,1.3096
17.77,1.6745
18.77,1.7537
19.77,0.3822
20.77,0.6328
21.77,0.9171
22.77,1.0644
23.77,1.2882
24.77,1.4823
25.77,0.3983
26.77,1.386
27.77,0.677
28.77,1.6219
29.77,1.8628
30.77,0.4478
31.77,0.6789
32.77,0.5439
33.77,0.574
34.77,1.9928
35.77,0.6027
36.77,0.1536
37.77,1.7526
38.77,1.874
39.77,1.4554
40.77,1.4002
41.77,1.0172
42.77,0.0864
43.77,0.1049
44.77,1.0234

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.58,0.3073
1.58,0.3264
2.58,0.3731
3.58,1.587
4.58,1.1856
5.58,1.8191
6.58,1.8192
7.58,1.9968
8.58,0.2219
9.58,0.2489
10.58,0.2633
11.58,1.7617
12.58,1.2864
13.58,0.4845
14.58,1.1549
15.58,1.8804
16.58,0.5108
17.58,1.9906
18.58,1.2565
19.58,0.4363
20.58,0.6106
21.58,0.2267
22.58,0.2526
23.58,1.6994
24.58,0.7476
25.58,1.9615
26.58,0.6243
27.58,1.4908
28.58,0.689
29.58,1.6158
30.58,1.629
31.58,1.9093
32.58,0.9822
33.58,1.4214
34.58,1.7247
35.58,1.0169
36.58,1.0922
37.58,1.9808
38.58,1.273
39.58,0.2877
40.58,0.8057
41.58,0.4253
42.58,1.6756
43.58,0.6635
44.58,1.8379

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.38,0.0006
1.38,0.8674
2.38,1.2432
3.38,1.0443
4.38,0.5507
5.38,1.8468
6.38,1.5903
7.38,0.9405
8.38,1.4398
9.38,0.278
10.38,0.401
11.38,1.0829
12.38,1.4665
13.38,0.8508
14.38,0.0221
15.38,1.1398
16.38,0.8628
17.38,1.8935
18.38,0.2629
19.38,1.4509
20.38,0.2319
21.38,1.3125
22.38,1.1978
23.38,1.588
24.38,0.9208
25.38,0.0861
26.38,0.698
27.38,0.864
28.38,0.6185
29.38,0.2641
30.38,0.4347
31.38,0.252
32.38,0.0979
33.38,1.984
34.38,1.6244
35.38,1.1896
36.38,0.6269
37.38,1.2573
38.38,0.2891
39.38,1.5168
40.38,0.198
41.38,1.8656
42.38,0.107
43.38,0.3967
44.38,1.4991

Level: target_lvl1
Time,Entropy
0.52,1.7229
1.52,0.0403
2.52,0.4477
3.52,0.5455
4.52,1.2179
5.52,0.076
6.52,1.5543
7.52,0.2908
8.52,0.2439
9.52,0.5929
10.52,1.6661
11.52,0.8706
12.52,0.1912
13.52,0.9446
14.52,0.4275
15.52,0.9011
16.52,0.1072
17.52,0.5674
18.52,1.243
19.52,1.4467
20.52,1.9371
21.52,1.2813
22.52,1.2372
23.52,1.5058
24.52,0.5822
25.52,1.3082
26.52,1.3495
27.52,1.0576
28.52,0.5603
29.52,1.8091
30.52,0.0665
31.52,1.9509
32.52,0.5506
33.52,1.132
34.52,0.02
35.52,1.867
36.52,1.13
37.52,1.1764
38.52,1.9974
39.52,1.9092
40.52,0.5581
41.52,1.5519
42.52,0.8735
43.52,0.0048
44.52,0.0475
45.52,0.8815
46.52,0.3304
47.52,1.3792
48.52,1.2154
49.52,0.5711
50.52,0.9115
51.52,1.6136
52.52,0.4558
53.52,1.782
54.52,1.244
55.52,0.8026
56.52,0.8477
57.52,0.4414
58.52,0.6074
59.52,1.2123
60.52,0.1854
61.52,0.627
62.52,1.0462
63.52,0.5757
64.52,1.3328
65.52,0.9704
66.52,1.193
67.52,0.9769
68.52,0.6901
69.52,1.0119
70.52,0.9
71.52,0.9708
72.52,0.2992
73.52,0.828
74.52,0.2674
75.52,0.3422
76.52,0.5934
77.52,0.1541
78.52,1.4594
79.52,1.642
80.52,0.241
81.52,1.7312
82.52,0.4456
83.52,1.7027
84.52,0.1267
85.52,0.4298
86.52,0.4698
87.52,1.6321
88.52,1.1843
89.52,1.1009
90.52,1.9232
91.52,0.9489
92.52,0.3653
93.52,0.6897
94.52,0.3438
95.52,1.7342
96.52,0.0306
97.52,0.8224
98.52,0.5778
99.52,0.8982
100.52,1.8298
101.52,1.2557
102.52,1.9418
103.52,1.9163
104.52,0.9925
105.52,0.7893
106.52,1.5445
107.52,0.8512
108.52,0.8952
109.52,0.2328
110.52,1.5994
111.52,1.639
112.52,0.6264
113.52,0.4547
114.52,1.7151
115.52,0.4988
116.52,1.8124
117.52,0.452
118.52,0.87
119.52,1.7897
