Time,Shape,Color,PressedKey,Result
2.18,square,yellow,RIGHT,wrong
3.47,triangle,green,RIGHT,correct
5.13,square,red,RIGHT,wrong
8.24,circle,red,LEFT,correct
10.1,triangle,grey,RIGHT,correct
14.71,circle,red,RIGHT,wrong
15.87,square,green,RIGHT,wrong
17.26,square,blue,RIGHT,wrong
20.36,circle,pink,LEFT,correct
21.85,square,blue,RIGHT,wrong
25.16,triangle,green,RIGHT,correct
26.32,triangle,grey,RIGHT,correct
28.21,square,grey,RIGHT,wrong
29.43,square,pink,RIGHT,wrong
30.96,circle,orange,LEFT,correct
34.07,circle,blue,LEFT,correct
35.66,square,green,RIGHT,wrong
37.05,circle,grey,LEFT,correct
38.61,triangle,green,RIGHT,correct
40.16,circle,pink,LEFT,correct
43.27,circle,green,LEFT,correct
44.7,circle,green,LEFT,correct
