Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.54,0.5126
1.54,0.3598
2.54,0.363
3.54,1.5739
4.54,1.3342
5.54,0.8487
6.54,0.3413
7.54,0.6229
8.54,0.491
9.54,1.7333
10.54,1.5019
11.54,1.9298
12.54,1.0093
13.54,1.1944
14.54,1.782
15.54,0.2969
16.54,0.2144
17.54,1.569
18.54,1.7682
19.54,1.5617
20.54,1.8825
21.54,0.175
22.54,0.1055
23.54,0.4754
24.54,0.7992
25.54,1.9011
26.54,1.1143
27.54,1.8265
28.54,0.3697
29.54,1.6695
30.54,1.7307
31.54,0.289
32.54,1.8262
33.54,1.4051
34.54,1.509
35.54,1.2674
36.54,1.6436
37.54,0.5442
38.54,1.0056
39.55,0.0483
40.54,1.321
41.54,0.8018
42.54,1.1254
43.54,1.4385
44.54,1.5327
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.36,0.7039
1.36,1.7166
2.36,1.0804
3.36,1.7661
4.36,0.3076
5.36,0.8538
6.36,1.5208
7.36,0.5054
8.36,0.8223
9.36,1.5522
10.36,1.4857
11.36,1.3866
12.36,0.4474
13.36,1.5476
14.36,0.846
15.36,0.5021
16.36,1.2612
17.36,0.4926
18.36,0.9739
19.36,0.6041
20.36,0.0085
21.36,1.1701
22.36,1.8597
23.36,1.1291
24.36,1.5361
25.36,0.3927
26.36,0.6684
27.36,0.2648
28.36,1.5291
29.36,1.003
30.36,0.0975
31.36,1.2311
32.36,0.0103
33.36,1.9028
34.36,0.5048
35.36,0.0905
36.36,1.1705
37.36,1.4241
38.36,1.1881
39.36,1.651
40.36,1.7751
41.36,1.2299
42.36,0.9091
43.36,1.4003
44.36,1.6476
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.15,1.5519
1.15,0.0731
2.15,0.2161
3.15,0.7421
4.15,1.011
5.15,1.394
6.15,0.0458
7.15,0.5025
8.15,1.6639
9.15,0.6899
10.15,1.1509
11.15,1.4326
12.15,1.2342
13.15,1.4688
14.15,1.1661
15.15,0.8396
16.15,1.1701
17.15,0.1915
18.15,0.5937
19.15,0.8052
20.15,0.189
21.15,0.0631
22.15,1.2021
23.15,0.2121
24.15,1.9822
25.15,0.3193
26.15,1.3524
27.15,0.8743
28.15,0.0402
29.15,0.7638
30.15,0.3147
31.15,0.57
32.15,1.675
33.15,0.2245
34.15,1.6678
35.15,0.8851
36.15,0.3455
37.15,0.7358
38.15,1.2182
39.16,1.743
40.15,1.7358
41.15,0.8625
42.15,0.8524
43.15,0.341
44.15,0.4515
