
Level: target_lvl2
Time,Entropy
0.58,1.3278
1.58,1.7811
2.58,0.9857
3.58,0.4237
4.58,1.765
5.58,0.4587
6.58,1.2179
7.58,0.2138
8.58,1.1849
9.58,1.6455
10.58,1.6921
11.58,0.1515
12.58,0.4949
13.58,1.1059
14.58,1.7059
15.58,1.1025
16.58,1.1796
17.58,1.5871
18.58,1.7023
19.58,1.829
20.58,0.2774
21.58,1.4347
22.58,0.3859
23.58,0.2112
24.58,0.5403
25.58,1.4034
26.58,1.4281
27.58,1.914
28.58,0.7311
29.58,1.6434
30.58,1.8492
31.58,1.5275
32.58,1.0504
33.58,0.019
34.58,1.4641
35.58,1.3282
36.58,1.3095
37.58,0.1394
38.58,1.3007
39.58,1.6418
40.58,1.8083
41.58,1.2989
42.58,1.6992
43.58,1.1613
44.58,1.5034
45.58,1.6158
46.58,1.9404
47.58,0.4165
48.58,1.3481
49.58,0.8268
50.58,1.2071
51.58,0.7609
52.58,0.1307
53.58,0.1776
54.58,0.2775
55.58,0.001
56.58,0.7686
57.58,0.7874
58.58,0.7644
59.58,0.4689
60.58,0.3996
61.58,0.7031
62.58,0.0271
63.58,1.6657
64.58,1.5135
65.58,1.6572
66.58,1.8765
67.58,0.7214
68.58,0.9997
69.58,1.0638
70.58,1.1527
71.58,0.8647
72.58,1.6843
73.58,0.3417
74.58,1.9149
75.58,1.6333
76.58,1.2047
77.58,0.8394
78.58,1.2234
79.58,0.2613
80.58,0.6107
81.58,0.3042
82.58,1.3635
83.58,0.8468
84.58,1.9663
85.58,1.6332
86.58,0.522
87.58,0.2551
88.58,0.0572
89.58,0.4188
90.58,0.9633
91.58,1.4386
92.58,0.2056
93.58,0.6681
94.58,1.4625
95.58,0.5888
96.58,1.8541
97.58,1.0303
98.58,1.4457
99.58,1.1744
100.58,0.1456
101.58,0.7994
102.58,0.0314
103.58,0.4757
104.58,1.8016
105.58,0.5422
106.58,0.5549
107.58,1.8596
108.58,1.6328
109.58,1.6464
110.58,0.3679
111.58,0.2852
112.58,0.4974
113.58,0.3679
114.58,1.4814
115.58,0.4752
116.58,0.3205
117.58,1.5981
118.58,1.9468
119.58,0.7683
