=== Segment 1 Start: 14:26:56 | End: 14:27:09 ===
Time (s),x,y
2.26,39,13
2.32,65,13
2.39,91,13
2.45,117,13
2.52,143,13
2.59,169,13
2.65,195,13
2.72,221,13
4.1,221,39
4.17,221,65
4.24,221,91
4.83,221,117
5.49,247,117
5.56,273,117
5.76,273,143
5.83,273,169
6.02,247,169
6.09,221,169
6.16,221,195
6.23,221,221
6.42,247,221
6.62,273,247
6.69,273,273
6.75,273,299
6.82,273,325
6.88,273,351
6.95,273,377
7.02,273,403
7.08,273,429
7.15,273,455
7.21,273,481
7.35,247,481
7.41,221,481
8.27,221,455
8.34,195,429
8.4,169,429
8.8,195,429
8.86,221,429
9.19,195,429
9.26,169,429
9.39,169,403
9.46,169,377
9.66,195,377
9.73,221,377
9.86,221,351
9.92,221,325
10.05,195,325
10.12,169,325
10.18,143,325
10.25,117,325
10.38,117,351
10.45,117,377
10.52,117,403
10.58,117,429
10.65,91,429
10.71,65,429
10.85,65,403
10.91,65,377
11.04,39,377
11.11,13,377
11.31,13,351
11.37,13,325
11.57,39,325
11.64,65,325
11.84,65,299
11.9,65,273
11.97,65,247
12.03,65,221
12.17,39,221
12.23,13,221
12.96,13,195
13.16,13,169

=== Segment 2 Start: 14:27:09 | End: 14:27:28 ===
Time (s),x,y
0.07,13,143
0.8,13,169
0.86,13,195
0.93,13,221
1.06,39,221
1.12,65,221
1.78,65,247
1.85,65,273
1.92,65,299
1.98,65,325
2.05,39,325
2.12,13,325
2.31,13,351
2.38,13,377
2.78,39,377
2.84,65,377
2.97,65,403
3.04,65,429
3.24,91,429
3.3,117,429
3.44,117,403
3.5,117,377
3.57,117,351
4.3,143,325
4.43,169,325
4.5,195,325
4.56,221,325
4.76,221,351
4.82,221,377
5.09,195,377
5.16,169,377
5.29,169,403
5.36,169,429
5.62,195,429
5.69,221,455
5.75,221,481
6.81,247,481
7.54,273,481
7.6,299,481
7.67,325,481
7.73,351,481
7.8,377,481
8.0,377,455
8.07,377,429
8.13,351,429
8.2,325,429
8.33,325,403
8.4,325,377
8.53,351,377
8.59,377,377
9.12,377,351
9.19,377,325
9.26,377,299
9.39,377,273
9.59,403,273
9.65,429,273
9.99,455,273
10.05,481,273
10.12,507,273
10.18,533,273
10.25,559,273
10.32,585,273
10.38,611,273
10.45,637,299
10.51,637,325
10.65,663,325
10.72,689,325
10.85,689,351
10.91,663,377
10.98,637,403
11.77,637,429
13.23,663,429
13.36,689,429
13.42,715,429
13.49,741,403
13.89,741,377
13.95,741,351
14.02,741,325
14.09,741,299
14.15,741,273
14.22,741,247
14.28,741,221
14.35,741,195
14.42,715,169
14.49,689,169
14.62,689,143
14.68,689,117
14.88,715,117
14.95,741,117
15.14,741,91
15.21,741,65
15.34,715,65
15.41,689,65
15.8,663,65
15.87,637,65
16.07,637,91
16.13,637,117
16.2,611,117
16.26,585,117
16.4,585,91
16.46,585,65
16.53,585,39
16.6,559,13
16.66,533,13
16.93,533,39
16.99,507,65
17.07,481,65
17.32,481,39
17.39,481,13
17.46,455,13
17.52,429,13
17.59,403,13
17.65,377,39
17.92,377,65
18.38,377,91
18.45,377,117
18.51,377,143
18.58,377,169
18.65,377,195
18.72,377,221
18.78,351,221
18.85,325,221
18.98,325,247
19.05,325,273

=== Segment 3 Start: 14:27:28 | End: 14:27:47 ===
Time (s),x,y
0.52,325,247
0.59,351,221
0.66,377,221
0.85,377,195
0.92,377,169
0.99,377,143
1.05,377,117
1.12,377,91
1.18,377,65
1.25,377,39
1.31,403,13
1.38,429,13
1.45,455,13
1.51,481,13
1.64,481,39
1.71,507,65
1.78,533,65
2.31,533,39
2.37,533,13
2.44,559,13
2.51,585,13
2.77,585,39
2.84,585,65
2.91,585,91
2.97,585,117
3.17,611,117
3.24,637,117
3.3,637,91
3.37,637,65
3.43,663,65
4.29,689,65
4.36,715,65
4.43,741,65
4.63,741,91
4.69,741,117
4.76,715,117
4.83,689,117
4.96,689,143
5.02,689,169
5.15,715,169
5.22,741,169
5.48,741,195
5.55,741,221
5.62,741,247
5.68,741,273
5.75,741,299
5.81,741,325
5.88,741,351
5.95,741,377
6.01,741,403
6.08,741,429
6.15,741,455
6.21,741,481
6.34,715,481
6.41,689,481
6.48,663,481
6.54,637,481
6.61,611,481
6.67,585,481
7.2,585,455
7.27,585,429
7.47,585,455
7.53,585,481
7.73,611,481
7.8,637,481
7.86,663,481
7.93,689,481
8.0,715,481
8.06,741,455
8.13,741,429
8.26,715,429
8.33,689,429
8.39,663,429
8.46,637,429
8.6,637,403
8.66,637,377
8.86,663,377
8.93,689,377
8.99,689,351
9.06,689,325
9.19,663,325
9.26,637,325
9.39,637,299
9.45,637,273
9.58,611,273
9.65,585,273
9.72,559,273
9.78,533,273
9.85,507,273
9.91,481,273
9.98,455,273
10.05,429,273
10.11,403,273
10.18,377,299
10.31,377,325
10.38,377,351
10.44,377,377
10.58,351,377
10.64,325,377
10.71,325,403
10.77,325,429
11.83,351,429
11.9,377,429
12.1,377,455
12.16,377,481
12.49,351,481
12.56,325,481
12.62,299,481
12.95,273,481
13.02,247,481
13.09,221,481
13.35,221,455
13.42,195,429
13.48,169,429
13.68,169,403
13.75,195,377
13.81,221,377
13.95,221,351
14.01,221,325
14.14,195,325
14.21,169,325
14.28,143,325
14.34,117,325
14.48,117,351
14.54,117,377
14.61,117,403
14.67,91,429
14.74,65,429
14.94,65,403
15.01,65,377
15.14,39,377
15.2,13,377
15.73,39,377
16.06,13,377
16.2,13,351
16.27,13,325
16.4,39,325
16.46,65,325
16.8,65,299
17.06,65,273
17.13,65,247
17.19,65,221
17.46,39,221
17.52,13,221
17.66,13,195
17.72,13,169
17.79,13,143
18.12,13,117
18.18,13,91
18.38,39,65
18.84,13,65

=== Segment 4 Start: 14:27:47 | End: 14:27:54 ===
Time (s),x,y
0.86,13,91
1.19,13,117
1.26,13,143
1.32,13,169
1.39,13,195
1.45,13,221
1.52,13,247
2.18,13,221
2.25,39,221
2.32,65,221
2.58,65,247
2.65,65,273
2.71,65,299
2.78,65,325
2.91,39,325
2.98,13,351
3.04,13,377
3.11,13,403
3.17,13,429
3.25,13,455
3.57,13,429
3.64,13,403
3.7,13,377
3.83,39,377
3.9,65,403
3.97,91,429
4.3,117,429
4.76,117,403
4.82,117,377
4.89,117,351
4.96,117,325
5.09,143,325
5.16,169,325
5.22,195,325
5.29,221,325
5.49,221,351
5.55,195,377
5.62,169,377
5.82,169,403
5.88,169,429
6.08,195,429
6.15,221,429
6.28,221,455
6.34,221,481
6.87,247,481
6.94,273,481
7.14,273,455
7.21,273,429
7.27,273,403
7.34,273,377

=== Segment 5 Start: 14:27:54 | End: 14:27:58 ===
Time (s),x,y
0.46,273,403
0.53,273,429
0.59,273,455
0.66,299,481
0.85,325,481
1.05,351,481
1.12,377,481
1.38,377,455
1.45,351,429
1.51,325,429
1.71,325,403
1.78,325,377
1.91,351,377
1.98,377,377
2.18,377,351
2.24,377,325
2.71,377,299
2.77,377,273
2.91,403,273
2.97,429,273
3.04,455,273
3.1,481,273
3.17,507,273
3.24,533,273
3.3,559,273
3.37,585,273
3.44,611,273
3.5,637,299
3.57,637,325
3.7,663,325
3.77,689,325
3.96,689,351
4.03,663,377

