
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.15,0.2078
1.15,1.1202
2.15,0.7813
3.15,1.6806
4.15,1.8336
5.15,1.942
6.15,1.2617
7.15,0.1837
8.15,1.9454
9.15,1.2949
10.15,1.2717
11.15,0.4382
12.15,1.2162
13.15,0.1145
14.15,1.3996
15.15,0.6052
16.15,0.8111
17.15,1.5403
18.15,1.8246
19.15,1.828
20.15,1.02
21.15,0.3503
22.15,0.3343
23.15,1.3391
24.15,0.007
25.15,1.2024
26.15,0.1269
27.15,0.6273
28.15,0.3105
29.15,1.914
30.15,1.7369
31.15,1.3138
32.15,0.4266
33.15,1.4319
34.15,1.0598
35.15,1.1786
36.15,1.9809
37.15,0.3764
38.15,1.6501
39.15,0.1125
40.15,0.5597
41.15,0.0426
42.15,0.2983
43.15,0.9791
44.15,0.5068

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.92,0.2346
1.92,1.0424
2.92,0.0367
3.92,0.3274
4.92,1.8004
5.92,1.869
6.92,1.2793
7.92,0.5744
8.92,1.805
9.92,1.8184
10.92,0.8249
11.92,1.053
12.92,1.8716
13.92,0.3005
14.92,1.8732
15.92,0.1784
16.92,1.6695
17.92,0.9814
18.92,1.9832
19.92,1.8512
20.92,1.406
21.92,0.9735
22.92,1.463
23.92,1.1786
24.92,1.5098
25.92,0.2502
26.92,0.6296
27.92,1.7426
28.92,1.9876
29.92,1.6432
30.92,1.1624
31.92,0.9891
32.92,1.6832
33.92,1.4185
34.92,0.1853
35.92,1.7971
36.92,0.5394
37.92,1.4791
38.92,0.3853
39.92,0.9647
40.92,0.8627
41.92,0.8363
42.92,1.0353
43.92,0.0531
44.92,1.2676

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.71,0.817
1.71,1.9098
2.71,1.6153
3.71,1.9856
4.71,0.5079
5.71,1.4724
6.71,1.9379
7.71,0.7774
8.71,0.4596
9.71,0.6722
10.71,0.4183
11.71,0.0456
12.71,1.8474
13.71,1.0913
14.71,0.1637
15.71,0.7394
16.71,0.7279
17.71,1.2922
18.71,1.4662
19.71,1.5311
20.71,0.8834
21.71,0.7578
22.71,1.6013
23.71,0.8631
24.71,0.9833
25.71,0.2608
26.71,1.4948
27.71,1.9221
28.71,1.4609
29.71,1.0434
30.71,0.8293
31.71,1.6637
32.71,0.8599
33.71,1.1843
34.71,1.1019
35.71,0.241
36.71,0.1899
37.71,1.343
38.71,0.7223
39.71,0.3937
40.71,0.138
41.71,1.194
42.71,1.8706
43.71,1.5973
44.71,1.3012
