Time,Shape,Color,PressedKey,Result
2.19,triangle,pink,RIGHT,correct
3.68,circle,blue,LEFT,correct
5.0,triangle,pink,RIGHT,correct
8.26,triangle,white,RIGHT,correct
9.81,square,grey,RIGHT,wrong
12.86,circle,green,LEFT,correct
16.01,triangle,orange,RIGHT,correct
20.82,square,orange,RIGHT,wrong
21.85,circle,red,LEFT,correct
24.96,triangle,pink,RIGHT,correct
27.95,square,yellow,RIGHT,wrong
31.36,triangle,orange,RIGHT,correct
32.75,square,blue,RIGHT,wrong
34.18,triangle,white,RIGHT,correct
37.12,circle,green,LEFT,correct
38.68,circle,white,LEFT,correct
41.63,circle,blue,LEFT,correct
44.82,circle,white,LEFT,correct
