Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.16,1.3527
1.16,0.5153
2.16,1.379
3.16,0.9903
4.16,0.1843
5.16,0.3622
6.16,0.8955
7.16,0.3298
8.16,0.4819
9.16,0.7794
10.16,0.0892
11.16,1.7662
12.16,0.0574
13.16,1.0269
14.16,0.4488
15.16,0.5161
16.16,1.4203
17.16,1.7287
18.16,0.6645
19.16,1.8395
20.16,1.8014
21.16,0.4126
22.16,1.9268
23.16,0.1563
24.16,1.5858
25.16,0.9705
26.16,0.3891
27.16,0.588
28.16,0.8493
29.16,0.9785
30.16,1.4777
31.16,1.6459
32.16,1.6554
33.16,0.1751
34.16,0.4995
35.16,0.6107
36.16,1.9167
37.16,1.8069
38.16,0.9768
39.16,0.2417
40.16,0.4623
41.16,0.8978
42.16,0.0948
43.16,1.8034
44.16,1.6709
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.96,1.4365
1.96,0.2366
2.96,0.5004
3.96,1.09
4.96,1.7328
5.96,1.3549
6.96,0.794
7.96,1.3411
8.96,1.5334
9.96,0.9738
10.96,1.9878
11.96,0.3801
12.96,1.7277
13.96,0.0237
14.96,1.5141
15.96,1.6417
16.96,0.2748
17.96,0.8853
18.96,0.857
19.96,0.2935
20.96,1.933
21.96,0.4981
22.96,0.3404
23.96,1.8236
24.96,0.9581
25.96,1.907
26.96,0.7369
27.96,1.7581
28.96,0.7806
29.96,1.7261
30.96,0.17
31.96,1.9366
32.96,1.7795
33.96,1.7959
34.96,0.3497
35.96,1.2575
36.96,0.7334
37.96,1.9639
38.96,0.5129
39.96,1.2536
40.96,1.8571
41.96,1.4898
42.96,0.1672
43.96,1.8938
44.96,0.9972
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.77,0.9211
1.77,1.5391
2.77,0.649
3.77,0.6132
4.77,0.9938
5.77,1.3525
6.77,1.1894
7.77,1.3258
8.77,1.2252
9.77,0.5101
10.77,0.1071
11.77,0.6615
12.77,1.9131
13.77,0.6851
14.77,1.8614
15.77,0.6487
16.77,1.5132
17.77,1.0075
18.77,0.2241
19.77,1.2561
20.77,0.7117
21.77,1.6092
22.77,1.6296
23.77,0.3985
24.77,1.0075
25.77,1.5078
26.77,1.9446
27.77,0.2328
28.77,0.9893
29.77,0.6626
30.77,1.8017
31.77,0.4454
32.77,0.2087
33.77,0.2933
34.77,1.5407
35.77,0.322
36.77,0.1339
37.77,1.4532
38.77,0.8823
39.77,1.5693
40.77,0.4803
41.77,1.127
42.77,0.0637
43.77,1.8218
44.77,0.0491
