
Level: target_lvl3
Time,Entropy
0.4,0.3747
1.4,0.0085
2.4,0.661
3.4,1.2033
4.4,0.6526
5.4,1.1043
6.4,0.9466
7.4,0.6498
8.4,1.9703
9.4,0.3842
10.4,1.3384
11.4,0.5354
12.4,1.8837
13.4,1.3371
14.4,0.536
15.4,1.8088
16.4,1.5625
17.4,1.9482
18.4,1.2749
19.4,0.8536
20.4,1.0142
21.4,1.067
22.4,1.7424
23.4,0.519
24.4,0.1421
25.4,0.5891
26.4,0.8014
27.4,0.7874
28.4,1.1235
29.4,1.5732
30.4,0.4199
31.4,0.4293
32.4,1.5515
33.4,0.6393
34.4,1.6228
35.4,1.1022
36.4,0.1177
37.4,0.0413
38.4,0.4586
39.4,1.305
40.4,1.9001
41.4,0.7845
42.4,1.7529
43.4,0.6866
44.4,0.9485
45.4,0.6431
46.4,0.5137
47.4,1.7628
48.4,1.3481
49.4,0.8044
50.4,0.1308
51.4,1.4047
52.4,0.5066
53.4,1.8713
54.4,1.1866
55.4,0.6145
56.4,0.6465
57.4,0.0323
58.4,0.5816
59.4,0.9453
60.4,1.2693
61.4,1.1858
62.4,1.3491
63.4,1.6753
64.4,1.1061
65.4,1.7756
66.4,0.2403
67.4,0.6204
68.4,1.0405
69.4,0.9296
70.4,1.1595
71.4,0.8545
72.4,0.9966
73.4,0.5799
74.4,0.8018
75.4,0.7481
76.4,0.0949
77.4,0.134
78.4,1.2594
79.4,0.2285
80.4,1.1776
81.4,0.8982
82.4,1.8394
83.4,1.3398
84.4,0.6693
85.4,0.6674
86.4,1.9024
87.4,1.2187
88.4,0.8054
89.4,1.68
90.4,0.5125
91.4,1.3712
92.4,1.1677
93.4,0.1013
94.4,1.3164
95.4,0.6056
96.4,1.8652
97.4,0.2515
98.4,0.5225
99.4,1.6952
100.4,1.5448
101.4,0.0128
102.4,1.0141
103.4,1.4544
104.4,0.32
105.4,1.8079
106.4,1.3124
107.4,0.0267
108.4,1.6163
109.4,1.6829
110.4,1.3471
111.4,1.9809
112.4,0.9469
113.4,1.1786
114.4,0.1019
115.4,1.2337
116.4,1.7937
117.4,0.0599
118.4,1.3904
119.4,0.8286
