=== Segment 1 Start: 14:02:23 | End: 14:02:45 ===
Time (s),x,y
5.37,45,15
5.43,75,15
5.5,105,15
5.56,135,15
5.83,135,45
5.89,135,75
6.22,165,75
6.29,195,75
6.55,195,105
6.62,195,135
6.69,195,165
6.75,195,195
7.15,165,195
7.22,135,195
7.48,135,225
7.55,135,255
7.81,165,255
7.88,195,255
8.6,165,255
9.8,195,255
10.19,195,285
10.26,195,315
10.92,165,315
10.98,135,315
11.12,105,315
11.19,75,315
11.51,75,345
11.58,75,375
11.91,105,375
11.98,135,375
12.44,135,405
12.51,135,435
12.7,165,435
12.77,195,435
13.17,195,405
13.23,195,375
14.49,225,375
14.56,255,375
15.09,255,405
15.15,255,435
15.48,285,435
15.55,315,435
16.01,315,405
16.08,315,375
16.6,345,375
16.67,375,375
17.13,375,405
17.2,375,435
17.6,405,435
17.66,435,435
17.73,465,435
17.79,495,435
17.86,525,435
17.93,555,435
18.12,555,405
18.19,555,375
18.26,555,345
18.32,555,315
18.65,525,315
18.72,495,315
18.98,495,285
19.05,495,255
19.84,525,255
19.91,555,255
19.97,585,255
20.04,615,255
20.37,615,285
20.44,615,315
20.7,645,315
20.77,675,315
21.23,675,285
21.29,675,255
21.95,705,255
22.02,735,255
22.49,735,285
22.55,735,315

=== Segment 2 Start: 14:02:45 | End: 14:03:02 ===
Time (s),x,y
3.37,51,17
3.43,85,17
3.5,119,17
3.57,153,17
4.22,187,17
4.29,221,17
4.69,221,51
4.75,221,85
5.15,255,85
5.22,289,85
5.95,323,85
6.02,357,85
6.41,357,51
6.47,357,17
6.74,391,17
6.8,425,17
7.13,425,51
7.2,425,85
7.53,459,85
7.6,493,85
7.66,527,85
7.73,561,85
8.06,561,51
8.13,561,17
8.46,595,17
8.52,629,17
8.59,663,17
8.66,697,17
10.18,731,17
10.25,765,17
10.44,765,51
10.51,765,85
11.1,731,85
11.17,697,85
11.23,663,85
11.3,629,85
11.7,629,119
11.76,629,153
12.09,595,153
12.16,561,153
12.49,561,187
12.56,561,221
13.81,595,221
13.88,629,221
14.67,629,255
14.74,629,289
14.8,629,323
14.87,629,357
14.94,629,391
15.0,629,425
15.07,629,459
15.13,629,493
15.46,663,493
15.53,697,493
15.6,731,493
15.66,765,493
16.12,765,459
16.19,765,425

=== Segment 3 Start: 14:03:02 | End: 14:03:09 ===
Time (s),x,y
5.09,14,42
5.16,14,70
5.22,14,98
5.42,14,126
5.49,14,154
5.55,14,182
5.75,42,182
5.82,70,182
6.21,70,210
6.28,70,238
6.35,70,266
6.41,70,294
6.74,42,294
6.82,14,294
7.21,14,322
7.27,14,350
7.34,14,378
7.4,14,406
7.6,42,406
7.67,70,406

=== Segment 4 Start: 14:03:09 | End: 14:03:18 ===
Time (s),x,y
0.06,43,14
1.98,72,14
2.05,101,14
2.11,130,14
2.19,159,14
2.25,188,14
2.58,188,43
2.64,188,72
3.04,217,72
3.11,246,72
3.17,275,72
3.24,304,72
3.31,333,72
3.37,362,72
3.7,362,101
3.77,362,130
4.1,333,130
4.16,304,130
4.23,275,130
4.29,246,130
4.62,246,159
4.69,246,188
5.62,217,188
5.69,188,188
6.15,188,217
6.21,188,246
6.28,188,275
6.35,188,304
6.41,188,333
