Time,Entropy
0.55,1.086
1.55,0.0073
2.55,0.0362
3.55,0.6921
4.55,0.7911
5.55,0.4314
6.55,0.8036
7.55,0.151
8.55,0.2195
9.55,0.9602
10.55,1.5786
11.55,1.5026
12.55,1.4957
13.55,0.8548
14.55,0.4373
15.55,1.6378
16.55,0.3781
17.55,1.2983
18.55,1.5878
19.55,1.7775
20.55,0.6009
21.55,1.6329
22.55,1.2943
23.55,0.7824
24.55,0.0092
25.55,0.2896
26.55,1.1721
27.55,0.3371
28.55,1.0329
29.55,1.614
30.55,0.7153
31.55,1.0943
32.55,1.7333
33.55,1.684
34.55,0.4255
35.55,0.6572
36.55,1.8862
37.55,1.2206
38.55,1.2594
39.55,1.91
40.55,0.3706
41.55,0.5274
42.55,1.7509
43.55,0.5665
44.55,1.1641
45.55,1.6015
46.55,0.74
47.55,0.073
48.55,1.4236
49.55,1.3273
50.55,0.8727
51.55,1.2615
52.55,1.9001
53.55,0.4125
54.55,0.4265
55.55,0.4607
56.55,1.0288
57.55,1.3682
58.55,1.2528
59.55,1.0201
