Cue,Response,Correct,Reaction Time,Game Time
triangle,none,False,N/A,1.53
circle,left,True,0.961,2.52
triangle,right,True,0.562,3.15
square,right,True,0.497,4.11
triangle,right,True,0.465,5.1
hexagon,right,True,0.529,6.2
triangle,right,True,0.529,7.23
triangle,right,True,0.397,8.12
triangle,right,True,0.366,9.11
square,right,True,0.633,10.41
hexagon,right,True,0.697,11.5
triangle,right,True,0.496,12.33
triangle,right,True,0.397,13.26
triangle,right,True,0.435,14.32
triangle,right,True,0.334,15.22
square,right,True,0.531,16.45
hexagon,right,True,0.562,17.5
triangle,right,True,0.397,18.37
hexagon,right,True,0.628,19.62
triangle,right,True,0.462,20.48
circle,left,True,0.501,21.54
hexagon,right,True,0.433,22.5
triangle,right,True,0.363,23.46
triangle,right,True,0.43,24.55
triangle,right,True,0.33,25.48
circle,right,False,0.332,26.5
hexagon,right,True,0.53,27.73
hexagon,right,True,0.431,28.66
circle,left,True,0.562,29.81
hexagon,right,True,0.465,30.74
square,right,True,0.632,31.94
circle,left,True,0.53,32.86
square,right,True,0.793,34.15
hexagon,right,True,0.562,34.95
hexagon,right,True,0.366,35.78
circle,left,True,0.53,36.97
triangle,right,True,0.495,37.96
hexagon,right,True,0.33,38.82
hexagon,right,True,0.33,39.84
triangle,right,True,0.431,40.97
square,right,True,0.531,42.09
hexagon,right,True,1.024,43.61
hexagon,right,True,0.662,44.31
square,right,True,0.692,45.37
triangle,right,True,0.695,46.39
circle,left,True,0.562,47.29
square,right,True,0.401,48.15
hexagon,right,True,0.53,49.31
hexagon,right,True,0.662,50.47
hexagon,right,True,0.892,51.73
triangle,right,True,0.628,52.49
circle,left,True,0.53,53.41
circle,left,True,0.495,54.4
square,right,True,0.629,55.57
triangle,right,True,0.464,56.43
square,right,True,0.397,57.39
hexagon,right,True,0.663,58.68
square,right,True,0.496,59.54
