
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.65,1.9817
1.65,1.0503
2.65,1.5095
3.65,1.2737
4.65,0.4393
5.65,0.0012
6.65,1.4902
7.65,0.66
8.65,1.8962
9.65,1.098
10.65,0.9148
11.65,1.4592
12.65,1.1269
13.65,0.38
14.65,0.2844
15.65,0.6928
16.65,1.2671
17.65,0.3068
18.65,1.6536
19.65,0.7228
20.65,1.3385
21.65,0.7849
22.65,1.6129
23.65,1.1319
24.65,1.2065
25.65,0.1672
26.65,0.2044
27.65,0.4828
28.65,0.3663
29.65,1.9853
30.65,0.8435
31.65,0.9186
32.65,1.7469
33.65,0.1236
34.65,1.3072
35.65,0.2452
36.65,0.3179
37.65,0.3776
38.65,0.6453
39.65,1.3563
40.65,1.6303
41.65,1.7143
42.65,0.3944
43.65,1.2373
44.65,0.3454

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.46,1.8016
1.46,1.3302
2.46,0.0329
3.46,1.5168
4.46,0.2985
5.46,1.7779
6.46,1.9426
7.46,1.3904
8.46,0.0542
9.46,0.8376
10.46,0.1268
11.46,0.5535
12.46,0.7162
13.46,0.3012
14.46,0.9497
15.46,0.0452
16.46,1.7351
17.46,1.0399
18.46,1.1431
19.46,0.9597
20.46,0.7215
21.46,1.5428
22.46,1.0643
23.46,0.0363
24.46,1.8022
25.46,1.4015
26.46,0.9327
27.46,1.5438
28.46,1.6072
29.46,1.8297
30.46,0.0911
31.46,0.3737
32.46,0.4016
33.46,1.5335
34.46,1.1577
35.46,1.5721
36.46,1.3798
37.46,1.2797
38.46,1.4977
39.46,0.806
40.46,1.7086
41.46,0.5376
42.46,1.0453
43.46,1.275
44.46,0.1622

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.27,0.8854
1.27,0.9833
2.27,0.1469
3.27,0.7132
4.27,0.7731
5.27,1.0781
6.27,1.7026
7.27,1.8653
8.27,0.0107
9.27,1.9152
10.27,1.2812
11.27,1.2335
12.27,1.4288
13.27,1.4875
14.27,1.3258
15.27,0.1308
16.27,1.7323
17.27,0.4968
18.27,1.1404
19.27,1.5094
20.27,0.9141
21.27,0.0387
22.27,1.4111
23.27,0.2598
24.27,0.338
25.27,0.2464
26.27,0.9363
27.27,1.0888
28.27,1.994
29.27,0.1154
30.27,1.843
31.27,0.6558
32.27,1.9665
33.27,0.249
34.27,1.9692
35.27,1.2069
36.27,0.2691
37.27,0.816
38.27,1.0106
39.27,1.8559
40.27,0.1825
41.27,0.0208
42.27,1.8331
43.27,0.8995
44.27,1.4183

Level: target_lvl1
Time,Entropy
0.2,1.42
1.2,0.716
2.2,1.8559
3.2,1.5151
4.2,1.2898
5.2,1.2614
6.2,0.3621
7.2,0.3946
8.2,1.7301
9.2,1.3786
10.2,0.6615
11.2,1.3959
12.2,0.2837
13.2,1.1897
14.2,1.2046
15.2,1.275
16.2,0.4334
17.2,0.7528
18.2,0.7059
19.2,1.8554
20.2,1.3373
21.2,0.6265
22.2,0.9939
23.2,0.8704
24.2,0.6836
25.2,1.1641
26.2,1.7274
27.2,0.4974
28.2,0.5475
29.2,0.421
30.2,0.697
31.2,1.5398
32.2,1.3881
33.2,0.7247
34.2,1.0665
35.2,1.9367
36.2,0.7084
37.2,1.2193
38.2,1.0375
39.2,1.9535
40.2,1.5768
41.2,1.911
42.2,0.2343
43.2,1.4995
44.2,1.1635
45.2,1.1892
46.2,0.697
47.2,0.2502
48.2,1.6312
49.2,0.8612
50.2,1.7778
51.2,1.9017
52.2,0.9329
53.2,1.4815
54.2,1.2951
55.2,0.974
56.2,0.0986
57.2,0.6944
58.2,1.8876
59.2,0.7768
60.2,1.334
61.2,0.3676
62.2,1.9386
63.2,0.2635
64.2,0.7277
65.2,1.8259
66.2,1.9735
67.2,0.109
68.2,0.2225
69.2,0.9295
70.2,0.0177
71.2,0.0534
72.2,1.4236
73.2,1.9733
74.2,0.4629
75.2,1.8666
76.2,0.3862
77.2,1.8556
78.2,0.06
79.2,1.9198
80.2,1.918
81.2,0.8086
82.2,1.8807
83.2,1.1723
84.2,0.2862
85.2,0.8821
86.2,0.0713
87.2,0.3918
88.2,0.8532
89.2,0.7756
90.2,0.8201
91.2,1.3465
92.2,1.7788
93.2,1.822
94.2,0.6841
95.2,1.6164
96.2,1.6167
97.2,0.4643
98.2,0.2897
99.2,1.2311
100.2,1.7449
101.2,0.9617
102.2,0.7114
103.2,0.7612
104.2,0.7141
105.2,0.5525
106.2,1.6933
107.2,1.9712
108.2,1.6856
109.2,1.3878
110.2,0.1367
111.2,0.8012
112.2,0.5057
113.2,1.5098
114.2,0.7379
115.2,1.7836
116.2,0.5228
117.2,0.8413
118.2,0.3053
119.2,0.7736
