Time,Shape,Color,PressedKey,Result
2.49,triangle,blue,RIGHT,correct
3.54,circle,yellow,LEFT,correct
5.13,triangle,blue,RIGHT,correct
6.65,circle,white,LEFT,correct
8.21,square,white,RIGHT,wrong
9.63,square,green,RIGHT,wrong
11.12,square,yellow,RIGHT,wrong
12.68,triangle,blue,RIGHT,correct
17.35,triangle,white,RIGHT,correct
19.04,circle,yellow,LEFT,correct
21.85,triangle,red,RIGHT,correct
23.51,square,yellow,RIGHT,wrong
26.4,triangle,green,RIGHT,correct
27.95,circle,red,LEFT,correct
29.67,circle,orange,LEFT,correct
30.9,triangle,yellow,RIGHT,correct
34.11,triangle,green,RIGHT,correct
35.5,circle,red,RIGHT,wrong
37.16,square,red,RIGHT,wrong
38.65,triangle,grey,RIGHT,correct
40.07,circle,red,LEFT,correct
41.69,circle,green,LEFT,correct
44.81,triangle,grey,RIGHT,correct
