Time,Entropy
0.66,1.008
1.66,0.8159
2.66,1.07
3.66,0.4134
4.66,0.988
5.66,1.345
6.66,1.1161
7.66,1.3774
8.66,0.5116
9.66,0.5792
10.66,0.0678
11.66,1.3593
12.66,1.5744
13.66,1.7179
14.66,1.5078
15.66,1.3235
16.66,0.0436
17.66,1.4591
18.66,1.9391
19.66,1.624
20.66,1.1424
21.66,1.122
22.66,1.9766
23.66,0.1533
24.66,0.7781
25.66,1.208
26.66,1.6882
27.66,0.156
28.66,1.8661
29.66,1.053
30.66,1.857
31.66,1.9916
32.66,0.3601
33.66,1.1075
34.66,1.4599
35.66,1.809
36.66,1.256
37.66,1.5392
38.66,1.6447
39.66,0.5324
40.66,1.6022
41.66,0.4148
42.66,0.4404
43.66,1.7055
44.66,0.9877
45.66,0.6648
46.66,1.5794
47.66,0.5225
48.66,0.5934
49.66,1.8301
50.66,0.6141
51.66,0.742
52.66,0.4701
53.66,1.4495
54.66,1.77
55.66,0.1916
56.66,1.5599
57.66,1.8872
58.66,1.3329
59.66,0.2902
