Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.26,1.385
1.26,0.7917
2.26,0.5618
3.26,1.1514
4.26,0.1303
5.26,0.4355
6.26,1.7809
7.26,0.8149
8.26,0.9948
9.26,0.606
10.26,1.154
11.26,0.0404
12.26,1.492
13.26,1.5291
14.26,0.947
15.26,0.72
16.26,0.6928
17.26,0.0969
18.26,0.8123
19.26,1.652
20.26,1.7197
21.26,1.2067
22.26,0.4722
23.26,1.8823
24.26,0.1923
25.26,0.27
26.26,1.2523
27.26,1.2187
28.26,0.4785
29.26,0.5561
30.26,0.8234
31.26,1.8209
32.26,0.5588
33.26,1.0208
34.26,0.2956
35.26,1.0256
36.26,0.9082
37.26,1.8246
38.26,1.4014
39.26,0.9189
40.26,0.0396
41.26,1.8219
42.26,1.7119
43.26,0.3338
44.26,0.0975
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.07,0.9763
1.07,1.9165
2.07,0.9455
3.07,0.5527
4.08,0.1648
5.07,0.2677
6.07,0.2815
7.07,0.2808
8.07,0.3947
9.07,1.5144
10.07,0.0031
11.07,1.4127
12.07,1.0485
13.07,0.8324
14.07,1.8291
15.07,0.4014
16.07,0.8806
17.07,0.5273
18.07,0.5205
19.07,1.7226
20.07,1.9841
21.07,1.7455
22.07,0.4423
23.07,1.0319
24.07,0.9695
25.07,0.5871
26.07,1.443
27.07,0.6462
28.07,0.7826
29.07,0.5611
30.07,0.2069
31.07,1.6381
32.07,1.3885
33.07,0.9396
34.07,1.3609
35.08,0.1152
36.07,0.4359
37.07,0.3443
38.07,0.2213
39.07,0.2977
40.07,1.0856
41.07,1.3585
42.07,0.8987
43.07,0.9532
44.07,1.9373
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.89,1.328
1.89,0.3214
2.89,0.4555
3.89,1.9201
4.89,1.2352
5.89,0.2328
6.89,1.2477
7.89,1.9974
8.89,0.7819
9.89,1.5854
10.89,0.699
11.89,0.3296
12.89,0.2994
13.89,1.1008
14.89,0.372
15.89,0.5632
16.89,0.7827
17.89,1.6964
18.89,0.9955
19.89,0.2739
20.89,0.4828
21.89,0.0894
22.89,0.1936
23.89,1.8492
24.89,0.4904
25.89,0.6175
26.89,0.9565
27.89,0.6251
28.89,1.2867
29.89,1.7042
30.89,1.9021
31.89,1.4534
32.89,1.2258
33.89,1.0204
34.89,1.6178
35.89,1.4599
36.89,0.2366
37.89,0.1573
38.89,0.264
39.89,0.0087
40.89,0.1029
41.89,1.639
42.89,1.9319
43.89,1.7348
44.89,1.0532
