Time,Entropy
0.71,1.9323
1.71,0.7094
2.71,0.2883
3.71,1.2244
4.71,0.4409
5.71,1.0486
6.71,1.1833
7.71,0.9244
8.71,1.0321
9.71,0.2164
10.71,0.6159
11.71,0.0552
12.71,1.5854
13.71,0.3142
14.71,0.7483
15.71,1.8294
16.71,1.6229
17.71,1.8466
18.71,0.3106
19.71,0.5048
20.71,0.3961
21.71,1.766
22.71,1.8242
23.71,1.0062
24.71,1.6444
25.71,0.9059
26.71,0.4902
27.71,1.498
28.71,0.9814
29.71,0.3382
30.71,1.1927
31.71,0.7882
32.71,0.6766
33.71,0.0693
34.71,1.5607
35.71,1.7325
36.71,0.5643
37.71,1.7818
38.71,0.8906
39.71,0.8253
40.71,1.2472
41.71,0.2174
42.71,1.553
43.71,0.6886
44.71,1.7392
45.71,0.3025
46.71,0.2313
47.71,1.8649
48.71,1.9803
49.71,1.0169
50.71,0.0072
51.71,0.7809
52.71,0.2132
53.71,1.3078
54.71,1.6377
55.71,0.8627
56.71,1.7009
57.71,0.5958
58.71,0.2367
59.71,1.5006
60.71,0.5303
61.71,1.4245
62.71,1.0201
63.71,1.5076
64.71,1.3973
65.71,0.1636
66.71,1.8786
67.71,0.1515
68.71,0.3095
69.71,1.5034
70.71,1.8915
71.71,0.8599
72.71,0.5283
73.71,0.5828
74.71,1.3057
75.71,0.4947
76.71,1.719
77.71,1.3818
78.71,1.8238
79.71,1.9021
80.71,0.5345
81.71,0.4985
82.71,1.187
83.71,0.7793
84.71,0.2839
85.71,1.3365
86.71,1.9151
87.71,1.5499
88.71,0.8439
89.71,1.9895
90.71,1.8056
91.71,0.3864
92.71,1.2265
93.71,0.992
94.71,0.8889
95.71,0.394
96.71,1.4366
97.71,0.2323
98.71,0.3245
99.71,0.9692
100.71,1.923
101.71,0.5902
102.71,0.6029
103.71,1.0634
104.71,1.5699
105.71,0.735
106.71,0.8239
107.71,0.7026
108.71,1.0469
109.71,0.4909
110.71,1.8011
111.71,0.5058
112.71,1.9964
113.71,0.1329
114.71,1.242
115.71,1.841
116.71,0.0143
117.71,0.9421
118.71,0.4569
119.71,1.3974
120.71,0.7378
121.71,1.0512
122.71,0.4171
123.71,0.407
124.71,0.3415
125.71,1.1902
126.71,0.7476
127.71,0.8161
128.71,0.8586
129.71,0.1985
130.71,0.0194
131.71,0.2591
132.71,0.6001
133.71,0.7597
134.71,1.861
135.71,0.9894
136.71,0.6495
137.71,0.3514
138.71,1.9867
139.71,0.1458
140.71,1.8213
141.71,0.9154
142.71,1.1172
143.71,0.5229
144.71,0.4948
145.71,1.3828
146.71,0.2581
147.71,0.7453
148.71,1.7112
149.71,1.9154
