=== Segment 1 Start: 21:47:15 | End: 21:47:30 ===
Time (s),x,y
1.13,20,60
1.26,20,100
1.33,20,140
1.4,20,180
1.46,20,220
1.53,20,260
1.6,20,300
1.66,20,340
2.78,60,340
2.85,100,340
2.92,140,340
2.98,180,340
3.05,220,340
3.11,260,340
3.44,260,380
3.51,260,420
3.91,300,420
3.97,340,420
4.04,380,420
4.11,420,420
6.95,420,460
7.01,420,500
7.61,380,500
7.67,340,500
7.94,340,540
8.0,340,580
8.2,380,580
8.27,420,580
8.33,460,580
8.4,500,580
8.47,540,580
8.53,580,580
9.13,580,540
9.19,580,500
9.66,540,500
9.72,500,500
9.99,500,460
10.06,500,420
10.65,540,420
10.71,580,420
10.78,620,420
10.85,660,420
11.11,660,460
11.18,660,500
11.37,700,500
11.44,740,500
11.9,740,460
11.97,740,420
12.04,740,380
12.1,740,340
12.17,740,300
12.23,740,260
12.3,740,220
12.37,740,180
12.57,700,180
12.63,660,180
12.83,660,140
12.9,660,100
13.3,620,100
13.36,580,100
13.43,540,100
13.5,500,100
13.56,460,100
13.63,420,100
13.69,380,100
13.76,340,60
13.83,340,20
14.22,300,20
14.29,260,20
14.35,220,20
14.42,180,20
14.49,140,20
14.55,100,20
14.68,100,60
14.75,100,100
15.01,140,100
15.08,180,100
15.15,220,100
15.21,260,100
15.48,260,140
15.54,260,180
15.61,260,220

=== Segment 2 Start: 21:47:30 | End: 21:47:35 ===
Time (s),x,y
0.06,260,260
0.92,260,220
0.99,260,180
1.06,260,140
1.13,260,100
1.32,220,100
1.39,180,100
1.45,140,100
1.52,100,100
1.65,100,60
1.72,100,20
2.12,140,20
2.18,180,20
2.25,220,20
2.32,260,20
2.38,300,20
2.78,340,20
2.85,380,20
2.91,420,20
3.31,380,20
3.38,340,20
3.77,340,60
3.84,340,100
4.03,380,100
4.1,420,100
4.17,460,100
4.23,500,100
4.3,540,100
4.36,580,100
4.43,620,100
4.5,660,100
4.69,660,140
4.76,660,180

=== Segment 3 Start: 21:47:35 | End: 21:47:38 ===
Time (s),x,y
0.79,660,140
0.86,660,100
1.06,620,100
1.12,580,100
1.19,540,100
1.26,500,100
1.32,460,100
1.39,420,100
1.45,380,100
1.52,340,60
1.59,300,20
2.18,340,20
2.25,380,20
2.31,420,20
2.38,460,20
2.45,500,20
2.51,540,20
2.58,580,20
2.64,620,20
2.71,660,20

=== Segment 4 Start: 21:47:38 | End: 21:47:42 ===
Time (s),x,y
0.07,700,20
0.13,740,20
0.73,700,20
0.79,660,20
0.86,620,20
0.93,580,20
0.99,540,20
1.06,500,20
1.12,460,20
1.52,420,20
1.59,380,20
1.65,340,20
2.11,340,60
2.18,340,100
2.45,380,100
2.51,420,100
2.58,460,100
2.64,500,100
2.71,540,100
2.78,580,100
2.84,620,100
2.91,660,140
3.11,660,180
3.57,700,180
3.64,740,180
3.9,740,220
3.96,740,260

=== Segment 5 Start: 21:47:42 | End: 21:47:46 ===
Time (s),x,y
0.07,740,300
0.13,740,340
0.73,740,380
0.8,740,420
0.86,740,460
0.93,740,500
0.99,740,540
1.06,740,580
1.92,740,540
1.98,740,500
2.38,700,500
2.45,660,500
2.58,660,460
2.65,660,420
2.91,620,420
2.98,580,420
3.04,540,420
3.11,500,420
3.38,500,460
3.44,540,500
3.51,580,540
3.77,580,500

=== Segment 6 Start: 21:47:46 | End: 21:47:52 ===
Time (s),x,y
1.32,540,500
1.39,500,500
1.85,500,460
1.92,500,420
2.25,540,420
2.31,580,420
2.38,620,420
2.45,660,420
2.64,660,460
2.71,660,500
2.97,700,500
3.04,740,500
3.3,740,460
3.37,740,420
3.44,740,380
3.5,740,340
3.57,740,300
3.64,740,260
3.7,740,220
3.77,740,180
3.97,700,180
4.03,660,180
4.36,660,140
4.43,660,100
4.69,620,100
4.76,580,100
4.83,540,100
4.89,500,100
4.96,460,100
5.02,420,100
5.09,380,100
5.16,340,100
5.35,340,60
5.42,340,20
5.75,300,20
5.82,260,20
5.89,220,20
5.95,180,20
6.02,140,20
6.08,100,20
6.28,100,60
6.35,100,100
6.61,140,100
6.68,180,100

=== Segment 7 Start: 21:47:52 | End: 21:47:53 ===
Time (s),x,y
0.07,220,100
0.66,260,100
0.92,260,140
0.99,260,180
1.06,260,220

=== Segment 8 Start: 21:47:53 | End: 21:47:57 ===
Time (s),x,y
0.07,260,260
0.73,260,220
0.79,260,180
0.86,260,140
0.93,260,100
1.19,220,100
1.26,180,100
1.33,140,100
1.39,100,100
1.66,100,60
1.72,100,20
2.45,140,20
2.52,180,20
2.91,220,20
2.98,260,20
3.04,300,20
3.44,340,20
3.9,340,60
3.97,340,100

=== Segment 9 Start: 21:47:57 | End: 21:47:58 ===
Time (s),x,y
0.6,380,100
0.66,420,100
0.73,460,100
0.79,500,100
0.86,540,100

