
Level: target_lvl3
Time,Entropy
0.33,1.5921
1.33,1.052
2.33,1.5824
3.33,0.9948
4.33,1.0341
5.33,0.4264
6.33,1.2311
7.33,1.0845
8.33,1.7898
9.33,1.7827
10.33,0.7901
11.33,1.8883
12.33,1.6764
13.33,1.0773
14.33,1.5167
15.33,1.6397
16.33,0.3474
17.33,1.0651
18.33,0.5079
19.33,0.9414
20.33,0.4723
21.33,1.7615
22.33,1.9728
23.33,0.7812
24.33,1.5019
25.33,0.8135
26.33,0.4348
27.33,1.3156
28.33,1.2326
29.33,0.6062
30.33,1.9067
31.33,1.2223
32.33,0.2793
33.33,1.6592
34.33,0.3741
35.33,1.3424
36.33,0.1159
37.33,1.8878
38.33,0.4123
39.33,1.1013
40.33,0.9317
41.33,1.6668
42.33,1.0955
43.33,0.4261
44.33,0.7448
45.33,1.7078
46.33,0.8822
47.33,0.0215
48.33,1.0752
49.33,1.1199
50.33,0.2829
51.33,0.2558
52.33,1.6424
53.33,0.6061
54.33,1.0327
55.33,1.1129
56.33,0.9459
57.33,1.6842
58.33,1.7888
59.33,1.4016
60.33,1.0205
61.33,0.4497
62.33,0.8944
63.33,0.4436
64.33,0.6034
65.33,0.9929
66.33,0.4158
67.33,0.3455
68.33,1.8289
69.33,0.5686
70.33,1.4711
71.33,1.2078
72.33,0.7346
73.33,1.1796
74.33,1.8856
75.33,0.5147
76.33,0.5623
77.33,1.1276
78.33,1.8763
79.33,1.9167
80.33,1.3627
81.33,0.5026
82.33,1.5509
83.33,1.152
84.33,1.0705
85.33,0.6178
86.33,1.6965
87.33,0.0535
88.33,0.8678
89.33,1.0623
90.33,1.4616
91.33,0.7869
92.33,0.9107
93.33,1.8437
94.33,1.6489
95.33,0.9206
96.33,0.9071
97.33,0.3957
98.33,0.3168
99.33,0.4768
100.33,1.076
101.33,0.7084
102.33,0.1309
103.33,0.4508
104.33,1.6005
105.33,1.5215
106.33,0.4496
107.33,0.1248
108.33,1.7201
109.33,1.8711
110.33,0.8195
111.33,0.034
112.33,0.3824
113.33,0.6802
114.33,0.3001
115.33,0.0354
116.33,0.679
117.33,0.921
118.33,1.1692
119.33,0.8609
