
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.69,1.306
1.69,1.3942
2.69,1.6516
3.69,0.295
4.69,1.5422
5.69,0.2071
6.69,0.1889
7.69,1.4222
8.69,1.6782
9.69,0.4809
10.69,0.1146
11.69,1.3465
12.69,0.5211
13.69,1.1735
14.69,1.2913
15.69,0.1585
16.69,0.1012
17.69,0.5373
18.69,1.3701
19.69,0.4621
20.69,0.6461
21.69,0.5108
22.69,0.8607
23.69,1.5256
24.69,0.6141
25.69,0.831
26.69,1.9507
27.69,1.5508
28.69,1.642
29.69,0.7692
30.69,0.9912
31.69,1.6702
32.69,0.204
33.69,1.8075
34.69,1.2731
35.69,1.1713
36.69,0.1016
37.69,0.1621
38.69,0.4353
39.69,0.9917
40.69,0.9471
41.69,0.1975
42.69,1.6572
43.69,1.3526
44.69,0.3495

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.48,0.3538
1.48,0.4511
2.48,0.8517
3.48,1.3369
4.48,0.9427
5.48,1.8312
6.48,0.1589
7.48,0.646
8.48,0.3523
9.48,1.955
10.48,1.3171
11.48,0.4821
12.48,1.7283
13.48,0.9141
14.48,0.2952
15.48,1.0957
16.48,1.1776
17.48,0.7766
18.48,0.9387
19.48,0.0686
20.48,0.5067
21.48,1.8942
22.48,1.4167
23.48,1.7025
24.48,0.1534
25.48,1.6712
26.48,0.5567
27.48,1.7472
28.48,1.2762
29.48,0.8915
30.48,0.2107
31.48,1.7295
32.48,0.7588
33.48,1.542
34.48,0.5739
35.48,0.2475
36.48,1.4386
37.48,0.3879
38.48,1.0905
39.48,1.402
40.48,1.3692
41.48,1.6025
42.48,0.1622
43.48,0.8748
44.48,0.8475

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.28,0.3177
1.28,1.9183
2.28,0.7386
3.28,0.1184
4.28,1.7887
5.28,0.333
6.28,0.2725
7.28,0.8991
8.28,0.0836
9.28,0.2033
10.28,1.0864
11.28,1.8869
12.28,1.109
13.28,1.4184
14.28,1.7438
15.28,1.7019
16.28,0.0799
17.28,1.7168
18.28,1.9033
19.28,0.9007
20.28,0.4509
21.28,0.3198
22.28,1.4825
23.28,0.2221
24.28,1.5704
25.28,0.3117
26.28,1.569
27.28,1.8437
28.28,0.5767
29.28,0.4874
30.28,0.7703
31.28,1.893
32.28,0.2918
33.28,1.4477
34.28,1.5639
35.28,1.7346
36.28,1.9632
37.28,1.582
38.28,0.6408
39.28,0.6956
40.28,1.9493
41.28,1.4069
42.28,1.7698
43.28,1.6835
44.28,0.5778

Level: target_lvl1
Time,Entropy
0.39,1.9619
1.39,0.64
2.39,0.2727
3.39,1.9947
4.39,1.8742
5.39,1.6748
6.39,0.3284
7.39,1.9962
8.39,0.8915
9.39,1.1695
10.39,0.3362
11.39,1.8032
12.39,0.1604
13.39,1.0773
14.39,0.5455
15.39,0.8917
16.39,1.7409
17.39,0.8029
18.39,1.6053
19.39,1.8195
20.39,0.9424
21.39,1.2056
22.39,1.4837
23.39,0.7249
24.39,1.4707
25.39,1.7759
26.39,1.5262
27.39,1.571
28.39,1.6109
29.39,0.0481
30.39,0.8251
31.39,0.6007
32.39,1.4162
33.39,0.5866
34.39,1.8978
35.39,0.8408
36.39,1.2597
37.39,1.4597
38.39,0.4194
39.39,1.372
40.39,0.7294
41.39,1.1988
42.39,1.9008
43.39,1.3713
44.39,1.2122
45.39,0.0161
46.39,1.0515
47.39,1.5762
48.39,0.3895
49.39,0.3609
50.39,0.5599
51.39,1.9968
52.39,0.4375
53.39,1.523
54.39,0.6214
55.39,0.0809
56.39,1.402
57.39,0.6934
58.39,0.079
59.39,0.4018
60.39,0.6992
61.39,0.8771
62.39,1.5472
63.39,1.9111
64.39,1.7312
65.39,1.0257
66.39,1.2112
67.39,1.8605
68.39,1.1038
69.39,0.1333
70.39,1.2575
71.39,0.9762
72.39,0.4667
73.39,1.1985
74.39,1.0543
75.39,1.5699
76.39,0.8237
77.39,1.2532
78.39,1.1458
79.39,1.1973
80.39,1.6085
81.39,0.7883
82.39,1.3511
83.39,1.0645
84.39,0.6787
85.39,0.794
86.39,0.0713
87.39,1.4634
88.39,0.2326
89.39,1.674
90.39,0.7266
91.39,1.5958
92.39,0.8491
93.39,1.9626
94.39,1.983
95.39,0.7219
96.39,0.8898
97.39,0.8695
98.39,1.2189
99.39,1.0632
100.39,1.1358
101.39,0.8319
102.39,0.9241
103.39,1.9051
104.39,1.5438
105.39,0.5219
106.39,1.6704
107.39,1.2386
108.39,1.607
109.39,0.579
110.39,1.5863
111.39,0.3572
112.39,1.6266
113.39,1.0961
114.39,1.8837
115.39,0.2656
116.39,1.0927
117.39,0.6808
118.39,0.0176
119.39,0.5356
