Time,Shape,Color,PressedKey,Result
2.06,square,orange,RIGHT,wrong
3.48,circle,orange,RIGHT,wrong
5.14,square,green,RIGHT,wrong
9.99,circle,grey,LEFT,correct
11.25,square,white,RIGHT,wrong
14.5,triangle,blue,RIGHT,correct
15.89,square,grey,RIGHT,wrong
17.41,circle,white,LEFT,correct
20.42,triangle,yellow,RIGHT,correct
22.02,square,grey,RIGHT,wrong
23.47,square,green,RIGHT,wrong
24.83,circle,blue,LEFT,correct
26.72,triangle,grey,RIGHT,correct
30.96,square,green,LEFT,wrong
32.65,triangle,blue,RIGHT,correct
35.67,triangle,grey,RIGHT,correct
37.29,square,grey,RIGHT,wrong
40.47,square,pink,RIGHT,wrong
41.89,square,pink,RIGHT,wrong
43.34,circle,blue,LEFT,correct
