Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.31,1.1239
1.31,0.111
2.31,0.6023
3.31,1.2914
4.31,0.7783
5.31,1.3408
6.31,0.6504
7.31,1.0864
8.31,1.0016
9.31,1.9254
10.31,1.9207
11.31,0.0796
12.31,0.2114
13.31,1.6362
14.31,0.3666
15.31,0.0612
16.31,1.7492
17.31,1.8988
18.31,0.0087
19.31,0.9002
20.31,1.9305
21.31,1.0102
22.31,0.8892
23.31,0.7617
24.31,1.5954
25.31,1.0965
26.31,0.9205
27.31,0.7509
28.31,1.1586
29.31,1.0491
30.31,1.8908
31.31,1.2619
32.31,0.9262
33.31,1.9971
34.31,0.8125
35.31,1.0137
36.31,1.7493
37.31,0.7716
38.31,1.6167
39.31,0.3725
40.31,1.7736
41.31,0.9921
42.31,0.2272
43.31,0.5734
44.31,0.0973
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.09,0.537
1.09,1.2314
2.09,0.0743
3.09,0.1245
4.09,0.3052
5.09,1.3736
6.09,0.9058
7.09,1.1572
8.09,0.9368
9.09,0.4418
10.09,1.0333
11.09,0.2454
12.09,1.9144
13.09,1.7036
14.09,0.7135
15.09,1.9864
16.09,0.3719
17.09,1.7652
18.09,0.0341
19.09,0.579
20.09,1.4384
21.09,1.2197
22.09,1.0055
23.09,1.1297
24.09,1.4657
25.09,1.5571
26.09,1.4538
27.09,1.1569
28.09,1.5078
29.09,0.8369
30.09,0.128
31.09,0.3862
32.09,0.6922
33.09,0.1618
34.09,1.7909
35.09,1.9662
36.09,0.0815
37.09,1.8868
38.09,0.8347
39.09,0.3596
40.09,0.0928
41.09,0.0683
42.09,0.6091
43.09,1.8945
44.09,1.8281
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.91,1.0923
1.91,1.8005
2.91,1.6138
3.91,1.1633
4.91,1.0821
5.91,1.8486
6.91,0.5001
7.91,1.5295
8.91,0.4682
9.91,1.7123
10.91,1.0227
11.91,1.1823
12.91,0.6573
13.91,1.5926
14.91,0.1375
15.91,0.3826
16.91,1.8241
17.91,1.61
18.91,0.502
19.91,1.4872
20.91,1.8033
21.91,1.5178
22.91,1.5174
23.91,0.2071
24.91,1.839
25.91,1.3782
26.91,1.6077
27.91,0.8986
28.91,1.79
29.91,0.4533
30.91,0.2802
31.91,1.0589
32.91,0.3674
33.91,0.2152
34.91,1.6458
35.91,0.1082
36.91,1.4844
37.91,1.394
38.91,0.8224
39.91,1.3997
40.91,0.3483
41.91,0.4908
42.91,0.8313
43.91,1.1261
44.91,1.9198
