=== Segment 1 Start: 15:28:05 | End: 15:28:32 ===
Time (s),x,y
2.12,60,20
2.19,100,20
2.52,100,60
2.59,100,100
2.65,100,140
2.72,100,180
3.18,60,180
3.25,20,180
3.51,20,220
3.58,20,260
4.04,60,260
4.11,100,260
4.17,140,260
4.31,180,260
5.5,180,220
5.56,180,180
6.16,220,180
6.23,260,180
6.62,300,180
6.69,340,180
6.76,380,180
6.82,420,180
7.29,420,220
7.35,420,260
8.15,380,260
8.21,340,260
8.54,340,300
8.61,340,340
9.2,300,340
9.27,260,340
10.46,260,380
10.53,260,420
11.12,300,420
11.19,340,420
11.65,340,460
11.72,340,500
11.78,340,540
11.85,340,580
13.96,380,580
14.03,420,580
14.42,420,540
14.49,460,500
15.02,500,540
15.09,540,580
15.81,580,580
15.88,620,580
15.95,660,580
16.47,660,540
16.54,660,500
17.0,700,500
17.07,740,500
18.06,740,460
18.46,740,420
18.52,740,380
18.59,740,340
18.66,740,300
18.72,740,260
18.79,740,220
18.86,740,180
18.92,740,140
18.99,740,100
19.05,740,60
19.12,740,20
19.45,700,20
19.52,660,20
19.59,620,20
19.65,580,20
20.18,580,60
20.25,580,100
20.64,540,100
20.71,500,100
20.77,460,100
21.5,500,100
21.57,540,100
22.56,500,100
23.09,500,140
23.16,500,180
23.23,500,220
23.29,500,260
23.62,540,260
23.69,580,260
24.02,580,300
24.09,580,340
24.49,540,340
24.55,500,340
24.82,500,380
24.88,500,420
25.28,540,420
25.34,580,420
25.41,620,420
25.48,660,420
25.87,660,380
25.94,660,340
26.01,660,300
26.07,660,260
26.14,660,220
26.2,660,180
26.6,620,180

=== Segment 2 Start: 15:28:32 | End: 15:28:46 ===
Time (s),x,y
0.07,580,180
3.17,620,180
3.24,660,180
3.77,660,220
3.83,660,260
3.9,660,300
3.96,660,340
4.03,660,380
4.1,660,420
5.22,620,420
5.29,580,420
5.35,540,420
5.42,500,420
6.28,500,380
6.35,500,340
6.74,540,340
6.81,580,340
7.14,580,300
7.2,580,260
7.6,540,260
7.67,500,260
8.13,500,220
8.2,500,180
8.26,500,140
8.33,500,100
8.86,540,100
8.92,580,100
9.19,580,60
9.25,620,20
9.78,660,20
9.85,700,20
9.92,740,20
10.44,740,60
10.51,740,100
10.58,740,140
10.64,740,180
10.71,740,220
10.77,740,260
10.84,740,300
11.11,740,340
11.17,740,380
11.24,740,420
11.3,740,460
11.37,740,500
11.83,700,500
11.9,660,500
12.23,660,540
12.29,660,580
12.56,620,580
12.62,580,580
12.69,540,580
12.76,500,580
13.29,500,540
13.35,500,500
13.75,460,500
13.82,420,500

=== Segment 3 Start: 15:28:46 | End: 15:28:59 ===
Time (s),x,y
0.66,420,540
0.72,420,580
1.05,380,580
1.12,340,580
1.18,300,580
3.9,340,580
3.97,380,580
4.04,420,580
6.74,380,580
6.8,340,580
7.33,340,540
7.4,340,500
7.47,340,460
7.53,340,420
7.87,300,420
7.93,260,420
8.39,260,380
8.46,260,340
8.53,260,300
9.32,260,340
9.65,300,340
10.12,340,340
10.78,340,300
11.05,340,260
11.58,380,260
11.64,420,260
12.04,420,220
12.11,420,180
12.64,380,180
12.7,340,180
12.77,300,180
12.83,260,180
