
Level: target_lvl3
Time,Entropy
0.9,1.3186
1.9,0.4894
2.9,1.3156
3.9,1.6251
4.9,1.0281
5.9,1.246
6.9,0.2874
7.9,1.7987
8.9,0.6741
9.9,0.7489
10.9,0.6664
11.9,0.2116
12.9,0.7458
13.9,1.5633
14.9,0.3178
15.9,0.6628
16.9,1.5895
17.9,0.8659
18.9,0.2803
19.9,1.173
20.9,1.9226
21.9,1.9141
22.9,0.8293
23.9,0.7221
24.9,0.9799
25.9,0.7015
26.9,1.4965
27.9,1.6174
28.9,1.4872
29.9,0.7953
30.9,0.6469
31.9,1.8922
32.9,0.3481
33.9,1.7409
34.9,1.1335
35.9,1.4355
36.9,1.9305
37.9,1.8701
38.9,0.4031
39.9,1.2181
40.9,1.5942
41.9,1.2731
42.9,0.7702
43.9,1.4559
44.9,0.0261
45.9,1.1571
46.9,1.9053
47.9,1.1913
48.9,1.3127
49.9,1.0105
50.9,0.7678
51.9,0.9184
52.9,1.0213
53.9,1.9434
54.9,1.1525
55.9,1.0338
56.9,1.675
57.9,1.6461
58.9,0.9242
59.9,1.6666
60.9,0.0008
61.9,1.5652
62.9,1.4232
63.9,1.1371
64.9,1.0419
65.9,0.9519
66.9,1.1323
67.9,0.3782
68.9,1.5195
69.9,1.3347
70.9,1.8221
71.9,1.0736
72.9,0.2338
73.9,1.2796
74.9,1.915
75.9,1.0347
76.9,1.1894
77.9,0.5091
78.9,1.3631
79.9,0.209
80.9,1.1905
81.9,1.945
82.9,1.5029
83.9,1.5962
84.9,0.5792
85.9,1.5947
86.9,1.7944
87.9,0.8457
88.9,1.9224
89.9,1.9955
90.9,1.7176
91.9,0.2906
92.9,0.9519
93.9,0.4979
94.9,1.2539
95.9,0.4447
96.9,0.4736
97.9,0.437
98.9,0.7732
99.9,0.2239
100.9,1.5379
101.9,0.2702
102.9,1.9924
103.9,0.4278
104.9,0.5833
105.9,1.4074
106.9,0.204
107.9,0.894
108.9,1.7603
109.9,0.2373
110.9,0.0524
111.9,0.7757
112.9,1.0833
113.9,0.3479
114.9,0.8809
115.9,0.0122
116.9,1.3475
117.9,1.2567
118.9,1.2171
119.9,1.2862
