Time,Entropy
0.46,1.7236
1.46,0.8749
2.46,1.9358
3.46,0.4363
4.46,1.9421
5.46,0.3387
6.46,0.0564
7.46,1.9872
8.46,1.9322
9.46,0.4945
10.46,1.4839
11.46,0.1947
12.46,1.3606
13.46,1.9455
14.46,1.311
15.46,0.9635
16.46,1.5438
17.46,0.7422
18.46,1.2253
19.46,0.4908
20.46,0.1916
21.46,1.605
22.46,1.3375
23.46,1.804
24.46,0.8739
25.46,0.4887
26.46,1.044
27.46,0.9243
28.46,0.2417
29.46,1.9488
30.46,0.2034
31.46,1.2295
32.46,0.0557
33.46,0.8074
34.46,0.6424
35.46,0.6049
36.46,0.7456
37.46,0.4897
38.46,0.3389
39.46,1.1769
40.46,0.8221
41.46,1.6175
42.46,0.7213
43.46,1.8144
44.46,0.9065
45.46,1.4314
46.46,1.4084
47.46,1.8851
48.46,0.8474
49.46,0.8146
50.46,0.321
51.46,1.955
52.46,1.8388
53.46,0.9268
54.46,1.9498
55.46,0.7836
56.46,1.8947
57.46,0.9636
58.46,0.2842
59.46,0.1257
