Cue,Response,Correct,Reaction Time,Game Time
circle,none,False,N/A,1.52
square,left,False,0.8,2.35
hexagon,right,True,0.232,2.82
square,right,True,0.43,4.04
circle,left,True,0.463,5.1
triangle,right,True,0.566,6.23
circle,left,True,0.695,7.39
hexagon,right,True,0.497,8.21
triangle,left,False,0.431,9.17
square,left,False,0.563,10.33
hexagon,right,True,0.83,11.62
hexagon,right,True,0.63,12.45
circle,right,False,0.464,13.31
square,left,False,0.628,14.5
circle,left,True,1.49,16.39
square,right,True,0.629,17.05
square,right,True,0.892,18.34
circle,left,True,0.764,19.24
square,right,True,0.562,20.06
square,right,True,0.462,20.99
triangle,right,True,0.563,22.12
triangle,right,True,0.728,23.31
circle,left,True,0.597,24.21
triangle,right,True,0.496,25.13
triangle,right,True,0.299,25.96
hexagon,right,True,0.662,27.36
square,right,True,0.998,28.72
circle,left,True,0.765,29.52
hexagon,right,True,0.665,30.45
hexagon,right,True,0.462,31.27
hexagon,right,True,0.496,32.33
circle,left,True,0.465,33.33
hexagon,right,True,0.397,34.29
hexagon,right,True,0.332,35.25
square,right,True,0.367,36.31
hexagon,right,True,0.465,37.44
hexagon,right,True,0.362,38.36
square,right,True,1.093,40.12
circle,left,True,0.76,40.91
hexagon,right,True,0.795,41.97
triangle,right,True,0.924,43.13
triangle,right,True,0.729,43.96
square,right,True,0.562,44.82
hexagon,right,True,0.764,46.05
triangle,right,True,0.699,47.01
square,right,True,0.564,47.91
square,right,True,0.398,48.77
square,right,True,0.398,49.8
square,right,True,0.365,50.79
triangle,right,True,0.529,51.98
square,right,True,0.432,52.91
triangle,right,True,0.363,53.87
triangle,right,True,0.364,54.9
triangle,right,True,0.364,55.92
square,right,True,0.893,57.48
square,right,True,0.565,58.18
triangle,right,True,0.497,59.14
