Time,Entropy
0.82,0.2942
1.82,0.7783
2.82,0.0421
3.82,0.343
4.82,1.7098
5.82,1.7778
6.82,0.4211
7.82,0.9224
8.82,0.6863
9.82,1.8482
10.82,0.206
11.82,0.1434
12.82,0.1091
13.82,0.1079
14.82,1.3487
15.82,1.9697
16.82,1.2164
17.82,0.975
18.82,1.7191
19.82,1.7705
20.82,1.9384
21.82,1.5698
22.82,0.794
23.82,1.575
24.82,1.4651
25.82,1.3103
26.82,0.2328
27.82,0.6716
28.82,1.3709
29.82,0.7378
30.82,1.8801
31.82,0.865
32.82,0.6759
33.82,0.4046
34.82,0.7772
35.82,1.5532
36.82,1.4572
37.82,1.963
38.82,0.7782
39.82,1.4823
40.82,1.3342
41.82,1.9887
42.82,1.62
43.82,1.8899
44.82,1.1486
45.82,0.3769
46.82,0.3751
47.82,1.0611
48.82,0.4011
49.82,1.2757
50.82,1.7127
51.82,1.4848
52.82,0.8158
53.82,0.7203
54.82,1.4803
55.82,1.5144
56.82,0.7676
57.82,1.8495
58.82,0.5692
59.82,1.8852
