Time,Entropy
0.65,1.6056
1.65,0.6747
2.65,1.6134
3.65,0.1498
4.65,1.5211
5.65,0.917
6.65,0.2537
7.65,1.0397
8.65,0.6381
9.65,0.2386
10.65,0.5617
11.65,0.0915
12.65,0.4351
13.65,1.3077
14.65,0.488
15.65,1.9558
16.65,1.422
17.65,1.4971
18.65,0.2737
19.65,0.1772
20.65,0.0008
21.65,0.4318
22.65,1.7575
23.65,0.0542
24.65,1.4076
25.65,0.324
26.65,1.4973
27.65,1.6073
28.65,0.0075
29.65,0.4976
30.65,0.2164
31.65,1.6081
32.65,0.894
33.65,0.6236
34.65,0.5118
35.65,1.9658
36.65,1.8696
37.65,1.0422
38.65,0.5028
39.65,0.2958
40.65,0.8688
41.65,0.9845
42.65,0.1651
43.65,0.6788
44.65,0.3669
45.65,0.8059
46.65,0.0329
47.65,1.9047
48.65,0.5292
49.65,1.9418
50.65,1.8115
51.65,1.3749
52.65,1.4634
53.65,1.3335
54.65,1.4232
55.65,1.7173
56.65,1.3539
57.65,1.0402
58.65,0.5726
59.65,0.6225
60.65,0.7226
61.65,0.4145
62.65,0.5546
63.65,0.0555
64.65,0.3801
65.65,0.6233
66.65,0.2729
67.65,0.0314
68.65,1.3939
69.65,0.0332
70.65,1.6005
71.65,0.0819
72.65,1.1801
73.65,1.2381
74.65,1.4864
75.65,0.3461
76.65,1.1718
77.65,1.801
78.65,0.6944
79.65,1.473
80.65,1.8688
81.65,1.6214
82.65,1.4655
83.65,0.4732
84.65,0.4595
85.65,0.2541
86.65,0.1232
87.65,0.583
88.65,1.5775
89.65,0.5863
90.65,1.435
91.65,0.4965
92.65,1.9361
93.65,0.5118
94.65,0.3058
95.65,1.6018
96.65,1.4079
97.65,0.3595
98.65,1.0703
99.65,0.5823
100.65,1.652
101.65,1.0822
102.65,0.1719
103.65,0.4668
104.65,0.1055
105.65,0.4793
106.65,0.407
107.65,0.2466
108.65,1.2756
109.65,1.1246
110.65,0.4356
111.65,0.403
112.65,0.7486
113.65,1.5428
114.65,1.217
115.65,1.2474
116.65,1.0392
117.65,1.3
118.65,1.6031
119.65,1.4805
120.65,0.3373
121.65,1.9808
122.65,1.0042
123.65,1.0865
124.65,0.8401
125.65,1.8352
126.65,1.3969
127.65,0.0712
128.65,1.9542
129.65,0.9554
130.65,0.2243
131.65,0.3434
132.65,1.1022
133.65,1.8628
134.65,0.3673
135.65,0.7724
136.65,0.7155
137.65,1.3277
138.65,1.147
139.65,1.6388
140.65,1.7475
141.65,1.2341
142.65,1.906
143.65,1.0534
144.65,0.4533
145.65,1.7483
146.65,1.244
147.65,0.9746
148.65,1.3393
149.65,0.7093
