Time,Entropy
0.93,1.5441
1.93,0.4456
2.93,0.179
3.93,1.5125
4.93,0.618
5.93,0.7348
6.93,0.3163
7.93,1.5039
8.93,1.6061
9.93,1.1465
10.93,1.756
11.93,0.6391
12.93,1.3237
13.93,0.1631
14.93,1.3489
15.93,1.9961
16.93,1.2153
17.93,1.6048
18.93,0.1668
19.93,0.4692
20.93,0.834
21.93,0.3112
22.93,1.5614
23.93,1.2552
24.93,0.2922
25.93,0.8536
26.93,0.4873
27.93,0.6362
28.93,1.6885
29.93,0.3343
30.93,0.3022
31.93,1.7535
32.93,0.4154
33.93,1.0658
34.93,1.7688
35.93,1.2327
36.93,0.194
37.93,0.5704
38.93,0.3666
39.93,1.5143
40.93,1.4214
41.93,1.9636
42.93,1.3764
43.93,1.5448
44.93,1.6733
45.93,1.9732
46.93,0.7147
47.93,0.399
48.93,0.3562
49.93,1.0276
50.93,1.3052
51.93,1.8887
52.93,1.1784
53.93,0.2594
54.93,0.039
55.93,1.6392
56.93,1.7593
57.93,1.2642
58.93,1.024
59.93,1.2579
