Cue,Response,Correct,Reaction Time,Game Time
hexagon,right,True,0.572,0.57
circle,left,True,0.464,1.47
square,right,True,0.596,2.63
circle,left,True,0.563,3.62
circle,left,True,0.434,4.52
circle,left,True,0.365,5.48
triangle,right,True,0.365,6.5
hexagon,right,True,0.532,7.7
circle,right,False,0.463,8.66
hexagon,right,True,0.529,9.75
triangle,right,True,0.562,10.81
triangle,right,True,0.364,11.64
hexagon,right,True,0.397,12.7
triangle,right,True,0.364,13.69
circle,right,False,0.331,14.68
triangle,right,True,0.429,15.81
triangle,right,True,0.397,16.8
triangle,right,True,0.395,17.83
triangle,right,True,0.396,18.85
hexagon,right,True,0.396,19.88
square,right,True,0.496,21.0
square,right,True,0.53,22.06
square,right,True,0.531,23.09
triangle,right,True,0.429,24.01
square,right,True,0.397,25.01
square,right,True,0.429,26.07
square,right,True,0.397,27.06
hexagon,left,False,0.396,28.08
circle,right,False,0.397,29.11
hexagon,right,True,0.463,30.2
triangle,right,True,0.399,31.17
hexagon,right,True,0.433,32.23
triangle,right,True,0.431,33.25
triangle,right,True,0.462,34.31
hexagon,right,True,0.43,35.31
triangle,right,True,0.332,36.23
circle,left,True,0.43,37.36
hexagon,right,True,0.363,38.32
square,right,True,0.432,39.41
triangle,right,True,0.466,40.47
hexagon,right,True,0.397,41.43
circle,left,True,0.431,42.5
hexagon,right,True,0.365,43.46
circle,left,True,0.431,44.55
hexagon,right,True,0.564,45.71
hexagon,right,True,0.466,46.64
triangle,right,True,0.429,47.63
square,right,True,0.364,48.59
hexagon,right,True,0.528,49.78
circle,left,True,0.364,50.64
hexagon,right,True,0.332,51.64
circle,left,True,0.364,52.7
hexagon,right,True,0.296,53.66
triangle,left,False,0.364,54.75
circle,right,False,0.297,55.71
square,right,True,0.364,56.8
triangle,right,True,0.43,57.9
square,right,True,0.431,58.92
hexagon,right,True,0.397,59.92
