
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.69,0.2445
1.69,0.778
2.69,1.2659
3.69,0.4684
4.69,0.9875
5.69,0.3659
6.69,1.5059
7.69,1.685
8.69,1.3937
9.69,1.1228
10.69,0.1733
11.69,1.3419
12.69,1.152
13.69,0.0215
14.69,1.812
15.69,0.3475
16.69,1.4503
17.69,0.6996
18.69,1.9884
19.69,0.0717
20.69,1.6262
21.69,1.0194
22.69,0.085
23.69,0.9467
24.69,0.8993
25.69,0.2529
26.69,0.851
27.69,0.3257
28.69,1.3794
29.69,1.6299
30.69,0.1878
31.69,1.3231
32.69,0.2408
33.69,0.9568
34.69,0.1776
35.69,1.0394
36.69,1.3747
37.69,0.9183
38.69,1.4668
39.69,0.4054
40.69,1.7463
41.69,0.7725
42.69,0.1419
43.69,1.9971
44.69,0.7545

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.5,1.4112
1.5,0.1117
2.5,1.0475
3.5,0.8135
4.5,1.1003
5.5,1.3862
6.5,1.6194
7.5,0.7676
8.5,0.4154
9.5,1.2886
10.5,1.7811
11.5,1.3418
12.5,1.5098
13.5,0.0453
14.5,0.6584
15.5,0.3731
16.5,1.2122
17.5,0.4999
18.5,0.6079
19.5,0.8458
20.5,1.6352
21.5,0.4449
22.5,1.2725
23.5,0.0157
24.5,0.3722
25.5,1.3748
26.5,0.7417
27.5,0.2258
28.5,1.3416
29.5,0.0152
30.5,0.2838
31.5,0.4953
32.5,1.2675
33.5,1.0283
34.5,1.1827
35.5,1.3335
36.5,0.8391
37.5,0.8811
38.5,0.1642
39.5,0.7827
40.5,1.2771
41.5,1.2673
42.5,0.5575
43.5,1.2204
44.5,0.7647

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.3,0.5394
1.3,1.4664
2.3,0.4424
3.3,1.0064
4.3,1.6851
5.3,1.925
6.3,1.269
7.3,0.0262
8.3,1.96
9.3,0.6737
10.3,1.7425
11.3,1.8261
12.3,1.6092
13.3,1.4911
14.3,1.7203
15.3,1.1507
16.3,0.924
17.3,1.4185
18.3,1.9098
19.3,0.9862
20.3,0.868
21.3,1.5047
22.3,0.141
23.3,1.2317
24.3,1.9508
25.3,1.239
26.3,0.1672
27.3,1.8052
28.3,1.2437
29.3,1.5898
30.3,1.7383
31.3,0.167
32.3,0.0746
33.3,1.3333
34.3,1.9808
35.3,1.7226
36.3,0.8655
37.3,1.3853
38.3,1.7574
39.3,1.9409
40.3,1.2778
41.3,1.8401
42.3,0.1914
43.3,1.7472
44.3,1.6094

Level: target_lvl1
Time,Entropy
0.98,1.6686
1.99,0.6582
2.98,0.8103
3.98,0.474
4.98,1.5638
5.98,1.522
6.98,0.6469
7.98,0.0429
8.98,0.3961
9.98,0.2572
10.98,1.7529
11.98,0.6928
12.98,1.1844
13.98,0.8805
14.98,0.7262
15.98,0.7202
16.98,1.6953
17.98,0.014
18.98,0.3627
19.98,0.9293
20.98,0.1646
21.98,0.0431
22.98,1.1091
23.98,0.7229
24.98,1.9395
25.98,0.9485
26.98,0.1015
27.98,0.0385
28.98,1.7005
29.98,0.6306
30.98,0.033
31.98,1.5272
32.98,0.5021
33.98,0.1898
34.98,0.1272
35.98,0.9172
36.98,0.9678
37.98,1.0776
38.98,1.1476
39.98,0.0595
40.98,1.4996
41.98,1.7467
42.98,0.43
43.98,0.3908
44.98,1.211
45.98,0.514
46.98,1.2774
47.98,1.0025
48.98,0.6333
49.98,1.0457
50.98,1.5286
51.98,0.2456
52.98,0.8527
53.98,0.7618
54.98,1.0016
55.98,1.8423
56.98,1.7799
57.98,0.6914
58.98,1.0862
59.98,0.8449
60.98,1.2967
61.98,0.8053
62.98,0.0886
63.98,0.7735
64.98,1.8447
65.98,1.8253
66.98,0.8259
67.98,1.0358
68.98,0.3482
69.98,1.8401
70.98,1.8199
71.98,1.0704
72.98,0.3684
73.98,1.8934
74.98,1.8355
75.98,1.5042
76.98,1.5228
77.98,0.6876
78.98,0.2288
79.98,1.5738
80.98,0.8904
81.98,1.0168
82.98,0.6463
83.98,1.9367
84.98,1.1561
85.98,1.3602
86.98,1.2451
87.98,0.9073
88.98,0.5738
89.98,0.7757
90.98,0.9205
91.98,1.0653
92.98,0.5973
93.98,1.7731
94.98,1.8606
95.98,1.2281
96.98,1.5133
97.98,1.9871
98.98,0.6083
99.98,0.4481
100.98,0.6551
101.98,0.6559
102.98,0.8253
103.98,1.8903
104.98,0.8889
105.98,1.0367
106.98,0.3365
107.98,1.9667
108.98,0.8973
109.98,0.6075
110.98,0.376
111.98,0.5835
112.98,0.3834
113.98,0.1149
114.98,1.454
115.98,1.3983
116.98,0.0634
117.98,0.32
118.99,0.3662
119.98,1.8076
