Time,Shape,Color,PressedKey,Result
2.1,circle,white,LEFT,correct
4.26,circle,orange,LEFT,correct
5.28,triangle,green,RIGHT,correct
6.47,square,orange,RIGHT,wrong
8.0,triangle,white,RIGHT,correct
9.72,square,pink,RIGHT,wrong
12.64,triangle,white,RIGHT,correct
14.16,circle,pink,LEFT,correct
15.59,triangle,grey,RIGHT,correct
17.11,circle,pink,RIGHT,wrong
18.76,triangle,white,RIGHT,correct
21.91,square,red,RIGHT,wrong
24.83,triangle,white,LEFT,wrong
27.81,square,blue,RIGHT,wrong
32.48,circle,orange,LEFT,correct
33.96,triangle,pink,RIGHT,correct
37.24,triangle,blue,RIGHT,correct
38.69,square,white,RIGHT,wrong
40.02,triangle,pink,RIGHT,correct
41.57,circle,orange,LEFT,correct
44.69,triangle,pink,RIGHT,correct
