Time,Entropy
0.98,1.6522
1.98,0.869
2.98,0.3961
3.99,0.3558
4.98,0.1965
5.98,0.5656
6.98,0.8878
7.98,1.4087
8.98,0.5135
9.98,1.7451
10.98,1.0745
11.98,0.0831
12.98,1.3572
13.98,1.4125
14.98,1.0748
15.98,1.0772
16.98,0.5076
17.98,1.1512
18.98,0.2893
19.98,0.621
20.98,0.9242
21.98,1.8577
22.98,1.0759
23.98,0.2988
24.98,1.117
25.99,0.7401
26.98,1.8859
27.98,0.1046
28.98,0.7668
29.98,1.6787
30.98,0.8308
31.98,0.4635
32.98,1.272
33.98,1.2774
34.98,1.0941
35.98,0.1925
36.98,1.0097
37.99,0.3166
38.98,1.9216
39.98,1.6069
40.99,1.6494
41.98,0.2438
42.98,0.8394
43.98,0.7167
44.98,0.6223
45.98,1.2793
46.98,1.3351
47.99,1.2248
48.98,1.491
49.98,1.2044
50.98,1.0378
51.98,0.4911
52.98,0.1423
53.99,0.7668
54.98,1.5559
55.98,0.1423
56.98,0.8386
57.98,0.8734
58.98,0.7094
59.98,1.5331
