Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.8,0.1778
1.8,1.0666
2.8,1.8377
3.8,1.6859
4.8,0.751
5.8,0.3145
6.8,0.1475
7.8,0.8258
8.8,0.13
9.8,0.895
10.8,1.593
11.8,0.5983
12.8,0.968
13.8,1.3049
14.8,0.1877
15.8,1.1404
16.8,1.1652
17.8,0.7526
18.8,1.1845
19.8,1.3801
20.8,1.5173
21.8,0.2841
22.8,0.6448
23.8,0.6546
24.8,1.1316
25.8,0.1469
26.8,1.3113
27.8,0.4232
28.8,0.9544
29.8,0.6015
30.8,0.6229
31.8,1.9412
32.8,0.7781
33.8,0.2671
34.8,0.2322
35.8,1.9303
36.8,0.751
37.8,0.3059
38.8,1.4401
39.8,0.5764
40.8,0.8239
41.8,1.4157
42.8,1.2184
43.8,1.1063
44.8,1.6532
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.58,1.9593
1.58,1.6804
2.58,0.5093
3.58,1.9376
4.58,0.0407
5.58,1.8565
6.58,1.9707
7.58,0.9599
8.58,1.4463
9.58,0.3253
10.58,0.4011
11.58,1.0735
12.58,0.3386
13.58,0.559
14.58,0.5994
15.58,0.2812
16.58,0.3416
17.58,0.6326
18.58,1.2433
19.58,0.7272
20.58,1.4367
21.58,0.6623
22.58,1.9648
23.58,1.9575
24.58,0.758
25.58,0.5846
26.58,0.1772
27.58,1.1263
28.58,0.5674
29.58,0.4899
30.58,0.1755
31.58,1.9116
32.58,1.4166
33.58,0.2213
34.58,0.9625
35.58,0.8803
36.58,0.7632
37.58,1.8608
38.58,1.1621
39.58,0.3056
40.58,1.3458
41.58,0.5483
42.58,1.4251
43.58,0.3936
44.58,0.5357
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.39,1.4447
1.39,0.3767
2.39,1.12
3.39,1.6454
4.39,0.4937
5.39,0.4447
6.39,0.073
7.39,1.7826
8.39,0.513
9.39,1.1846
10.39,1.3507
11.39,0.5243
12.39,0.4843
13.39,1.9482
14.39,0.9228
15.39,0.2377
16.39,0.3102
17.39,1.6227
18.39,0.7627
19.39,1.9635
20.39,1.4226
21.39,0.8772
22.39,1.2026
23.39,0.5078
24.39,1.1606
25.39,1.7494
26.39,1.7412
27.39,1.6282
28.39,1.7673
29.39,0.3057
30.39,0.5838
31.39,1.3324
32.39,1.7275
33.39,0.0382
34.39,1.3174
35.39,1.9943
36.39,1.8052
37.39,1.3207
38.39,0.3898
39.39,0.9686
40.39,1.2887
41.39,0.4565
42.39,1.5254
43.39,0.2416
44.39,1.8752
