Time,Entropy
0.07,1.5485
1.07,0.9682
2.07,1.6705
3.07,0.4237
4.07,1.7945
5.07,0.5505
6.07,1.5311
7.07,1.591
8.07,0.6196
9.07,1.0144
10.07,0.9082
11.07,0.2689
12.07,1.4864
13.07,0.4981
14.07,0.3619
15.07,0.7205
16.07,0.1978
17.07,0.0569
18.07,1.2699
19.07,1.4991
20.07,1.6894
21.07,1.01
22.07,1.5023
23.07,1.3021
24.07,0.3748
25.07,1.6142
26.07,1.7341
27.07,1.7522
28.07,0.4301
29.07,0.2791
30.07,0.5298
31.07,0.0
32.07,1.8669
33.07,1.4148
34.07,1.9557
35.07,0.2916
36.07,0.0507
37.07,0.7613
38.07,1.4601
39.07,1.9363
40.07,1.9467
41.07,0.8699
42.07,0.8821
43.07,0.7608
44.07,0.6336
45.07,1.1071
46.07,0.0521
47.07,0.8129
48.07,0.7131
49.07,0.2303
50.07,1.682
51.07,0.0543
52.07,0.7776
53.07,0.3082
54.07,0.3953
55.07,0.8617
56.07,1.5625
57.07,1.8144
58.07,1.728
59.07,0.4068
60.07,1.5719
61.07,1.4359
62.07,1.2336
63.07,0.4992
64.07,1.4826
65.07,1.7978
66.07,1.5909
67.07,1.4093
68.07,0.9357
69.07,1.0019
70.07,0.0915
71.07,1.0292
72.07,0.6127
73.07,1.5238
74.07,0.2444
75.07,1.9624
76.07,0.8763
77.07,0.5716
78.07,1.8543
79.07,0.0725
80.07,1.3987
81.07,1.3131
82.07,1.2157
83.07,1.5365
84.07,1.3396
85.07,0.4162
86.07,1.2741
87.07,1.5812
88.07,0.1263
89.07,1.8188
90.07,1.2285
91.07,1.7839
92.07,1.7955
93.07,0.1643
94.07,0.8499
95.07,0.016
96.07,0.1245
97.07,0.2871
98.07,0.6068
99.07,1.0108
100.07,1.4212
101.07,1.8575
102.07,0.5033
103.07,1.4754
104.07,0.336
105.07,0.3573
106.07,1.1342
107.07,0.0509
108.07,1.5987
109.07,1.4318
110.07,1.1491
111.07,1.4339
112.07,1.7196
113.07,0.9779
114.07,0.9852
115.07,0.9966
116.07,0.1398
117.07,1.9672
118.07,1.6723
119.07,1.3042
120.07,0.7723
121.07,1.1742
122.07,0.626
123.07,0.8083
124.07,1.55
125.07,1.7026
126.07,1.9952
127.07,1.749
128.07,0.5425
129.07,0.2697
130.07,1.1962
131.07,0.2925
132.07,1.2336
133.07,0.3911
134.07,1.7746
135.07,0.9969
136.07,1.3333
137.07,0.2912
138.07,1.4298
139.07,0.8503
140.07,0.339
141.07,1.9632
142.07,1.7779
143.07,1.2872
144.07,0.3413
145.07,1.6082
146.07,1.5791
147.07,1.5954
148.07,1.0077
149.07,0.9646
150.07,1.5232
