=== Segment 1 Start: 21:16:58 | End: 21:17:12 ===
Time (s),x,y
1.93,20,60
1.99,20,100
2.06,20,140
2.12,20,180
2.19,20,220
2.26,20,260
2.45,60,260
2.52,100,260
3.05,100,300
3.12,100,340
3.45,140,340
3.51,180,340
3.58,220,340
3.65,260,340
3.71,300,340
3.78,340,340
3.84,380,340
3.91,420,340
4.11,420,300
4.17,420,260
4.44,460,260
4.5,500,260
4.77,500,220
4.83,500,180
5.03,540,180
5.1,580,180
6.09,580,220
6.16,580,260
6.75,620,260
6.82,660,260
7.15,660,300
7.21,660,340
7.28,660,380
7.34,660,420
7.68,620,420
7.74,580,420
8.27,580,380
8.34,580,340
8.53,540,340
8.6,500,340
8.8,500,380
8.86,500,420
8.93,500,460
9.0,500,500
9.19,460,500
9.26,420,500
9.52,420,460
9.59,420,420
9.79,380,420
9.86,340,460
9.92,300,500
10.32,260,500
10.65,260,460
10.72,260,420
10.92,220,420
10.98,180,420
11.05,140,420
11.11,100,420
11.18,60,420
11.24,20,420
11.44,20,460
11.51,20,500
11.58,20,540
11.64,20,580
11.91,60,580
11.97,100,580
12.04,140,580
12.1,180,580
12.17,220,580
12.24,260,580
12.3,300,580
12.37,340,580
12.43,380,580
12.5,420,580
12.57,460,580
12.63,500,580
12.7,540,580
12.77,580,580
12.83,620,580
12.9,660,580
12.96,700,580
13.03,740,580
13.36,740,540
13.43,740,500
13.49,740,460
13.56,740,420
13.62,740,380
13.69,740,340
13.75,740,300
13.82,740,260
13.89,740,220
13.95,740,180
14.15,700,180
14.22,660,180

=== Segment 2 Start: 21:17:12 | End: 21:17:25 ===
Time (s),x,y
1.19,700,180
1.25,740,180
1.58,740,220
1.65,740,260
1.71,740,300
1.78,740,340
1.85,740,380
1.91,740,420
1.98,740,460
2.05,740,500
2.11,740,540
2.18,740,580
2.64,700,580
2.71,660,580
2.78,620,580
2.84,580,580
2.91,540,580
2.97,500,580
3.04,460,580
3.11,420,580
3.17,380,580
3.24,340,580
3.3,300,580
3.37,260,580
3.44,220,580
3.5,180,580
3.57,140,580
3.63,100,580
3.7,60,580
3.77,20,580
4.63,20,540
4.89,20,500
4.96,20,460
5.03,20,420
5.09,20,380
5.16,20,340
5.76,20,380
5.82,20,420
6.22,60,420
6.28,100,420
6.35,140,420
6.42,180,420
6.48,220,420
6.55,260,420
6.62,260,460
6.68,260,500
7.01,300,500
7.08,340,500
7.28,340,460
7.34,340,420
7.54,380,420
7.61,420,420
7.87,420,460
7.94,420,500
8.2,460,500
8.27,500,460
8.47,500,420
8.53,500,380
8.6,500,340
9.06,540,340
9.13,580,340
9.4,580,380
9.46,580,420
9.66,620,420
9.72,660,420
9.99,660,380
10.05,660,340
10.12,660,300
10.18,660,260
10.32,620,260
10.38,580,260
10.65,580,220
10.72,580,180
10.85,540,180
10.91,500,180
11.18,500,220
11.24,500,260
11.51,460,260
11.57,420,260
11.77,420,300
11.84,420,340
12.03,380,340
12.1,340,340
12.17,300,340
12.23,260,340
12.3,220,340
12.36,180,340
12.43,140,340
12.5,100,340
12.63,100,300
12.69,100,260

=== Segment 3 Start: 21:17:25 | End: 21:17:32 ===
Time (s),x,y
1.72,100,300
1.78,100,340
2.05,140,340
2.12,180,340
2.18,220,340
2.25,260,340
2.31,300,340
2.38,340,340
