
Level: target_lvl2
Time,Entropy
0.27,0.8347
1.27,0.5964
2.27,1.7185
3.27,1.7756
4.27,1.6118
5.27,1.221
6.27,0.9565
7.27,1.592
8.27,1.3046
9.27,1.578
10.27,1.3979
11.27,1.9316
12.27,1.9582
13.27,0.4819
14.27,0.0669
15.27,0.8429
16.27,0.4989
17.27,1.9507
18.27,1.2856
19.27,1.327
20.27,1.4751
21.27,0.9409
22.27,0.5934
23.27,0.3919
24.27,0.7824
25.27,1.6705
26.27,1.7529
27.27,1.5278
28.27,0.3136
29.27,1.2287
30.27,0.8467
31.27,1.6968
32.27,1.1122
33.27,1.6653
34.27,0.5474
35.27,0.9208
36.27,0.9119
37.27,0.7741
38.27,0.5669
39.27,1.4079
40.27,1.8163
41.27,0.9315
42.27,0.5264
43.27,1.0662
44.27,0.2109
45.27,0.9753
46.27,1.3418
47.27,0.6263
48.27,0.1857
49.27,1.9653
50.27,1.8451
51.27,1.211
52.27,0.5564
53.27,1.0358
54.27,0.3931
55.27,0.2778
56.27,1.2406
57.27,0.6766
58.27,1.0371
59.27,1.3794
60.27,1.6661
61.27,1.9754
62.27,0.5981
63.27,1.8578
64.27,0.5088
65.27,1.8312
66.27,1.5951
67.27,0.8979
68.27,1.003
69.27,0.6167
70.27,1.904
71.27,0.9507
72.27,1.7526
73.27,0.2664
74.27,1.88
75.27,1.9243
76.27,1.1037
77.27,1.8222
78.27,0.8502
79.27,0.5951
80.27,1.6677
81.27,0.5347
82.27,1.3234
83.27,1.9461
84.27,1.0264
85.27,0.1237
86.27,1.9563
87.27,0.6537
88.27,1.1423
89.27,1.9461
90.27,1.2979
91.27,1.2689
92.27,1.8738
93.27,0.3759
94.27,0.6851
95.27,0.2736
96.27,1.5765
97.27,1.8738
98.27,0.176
99.27,0.853
100.27,0.5802
101.27,1.9422
102.27,1.0435
103.27,0.1826
104.27,0.3636
105.27,0.4234
106.27,1.8722
107.27,0.1544
108.27,1.3862
109.27,1.3942
110.27,0.8189
111.27,0.9042
112.27,0.6229
113.27,0.3131
114.27,1.7632
115.27,0.3601
116.27,1.8269
117.27,1.7241
118.27,1.4862
119.27,0.321

Level: target_lvl3
Time,Entropy
0.28,0.2694
1.28,0.8147
2.28,0.3673
3.28,0.6077
4.28,0.4185
5.28,0.5024
6.28,0.9722
7.28,0.0711
8.28,0.335
9.28,1.7465
10.28,1.9236
11.28,1.1839
12.28,0.8338
13.28,0.1858
14.28,1.1931
15.28,0.2873
16.28,1.073
17.28,0.3147
18.28,1.2669
19.28,0.6957
20.28,0.4573
21.28,1.8929
22.28,0.4599
23.28,1.2147
24.28,0.5213
25.28,0.9506
26.28,1.0984
27.28,1.4075
28.28,1.1877
29.28,1.8983
30.28,0.5221
31.28,1.9277
32.28,0.9019
33.28,0.9685
34.28,1.4863
35.28,0.0522
36.28,1.1177
37.28,0.9608
38.28,1.7299
39.28,0.1838
40.28,1.2544
41.28,1.4713
42.28,0.0818
43.28,1.5162
44.28,1.5651
45.28,1.6365
46.28,0.1669
47.28,1.486
48.28,0.7712
49.28,1.8132
50.28,1.628
51.28,0.3988
52.28,1.2776
53.28,0.743
54.28,0.8116
55.28,0.8393
56.28,1.4603
57.28,0.6203
58.28,1.5242
59.28,0.8593
60.28,0.7162
61.28,0.3021
62.28,1.6516
63.28,0.3086
64.28,0.9066
65.28,1.7341
66.28,1.2725
67.28,1.5158
68.28,1.499
69.28,1.0287
70.28,0.8884
71.28,1.8109
72.28,0.1339
73.28,0.6021
74.28,1.0816
75.28,1.7157
76.28,1.6568
77.28,0.3286
78.28,1.0708
79.28,1.8225
80.28,1.2714
81.28,0.7798
82.28,1.615
83.28,0.8208
84.28,0.4719
85.28,1.1811
86.28,0.7998
87.28,0.9602
88.28,1.0553
89.28,1.4548
90.28,1.6468
91.28,1.5297
92.28,0.7661
93.28,0.7846
94.28,1.8051
95.28,1.5936
96.28,1.1127
97.28,1.1267
98.28,1.2491
99.28,0.01
100.28,0.5813
101.28,1.2033
102.28,0.3282
103.28,0.9243
104.28,1.3955
105.28,1.8556
106.28,0.5844
107.28,1.6088
108.28,1.4557
109.28,0.1465
110.28,1.7237
111.28,0.5729
112.28,0.403
113.28,0.8744
114.28,1.8954
115.28,1.6839
116.28,0.8238
117.28,1.8006
118.28,1.6863
119.28,0.6678
