Time,Entropy
0.2,0.1105
1.2,1.9076
2.2,1.9093
3.2,1.6525
4.2,0.9194
5.2,1.8643
6.2,0.6802
7.2,0.8002
8.2,0.3542
9.2,1.9662
10.2,0.7698
11.2,1.0344
12.2,0.2549
13.2,1.3249
14.2,0.5159
15.2,1.0774
16.2,1.0641
17.2,0.7098
18.2,0.4109
19.2,1.7742
20.2,1.8336
21.2,0.1044
22.2,0.6916
23.2,1.7588
24.2,1.5657
25.2,1.5449
26.2,0.8801
27.2,0.7452
28.2,0.2441
29.2,1.1763
30.2,0.4882
31.2,1.6191
32.2,1.7719
33.2,1.8427
34.2,0.7646
35.2,0.2797
36.2,0.5239
37.2,1.1099
38.2,0.826
39.2,0.352
40.2,0.0351
41.2,0.4452
42.2,1.5698
43.2,0.2158
44.2,0.0017
45.2,0.8801
46.2,0.1891
47.2,0.8379
48.2,1.1766
49.2,0.6597
50.2,0.2158
51.2,1.5202
52.2,1.8517
53.2,0.2008
54.2,0.6208
55.2,1.6534
56.2,0.7666
57.2,1.6352
58.2,0.1259
59.2,1.6812
