Cue,Response,Correct,Reaction Time,Game Time
circle,left,True,0.763,0.76
triangle,right,True,0.728,1.76
square,left,False,0.664,2.72
triangle,right,True,0.498,3.58
triangle,right,True,0.365,4.48
hexagon,right,True,0.431,5.57
square,right,True,0.494,6.66
square,right,True,0.33,7.52
square,right,True,0.331,8.55
hexagon,left,False,0.53,9.78
square,right,True,0.464,10.74
triangle,right,True,0.431,11.73
circle,left,True,0.364,12.69
square,right,True,0.527,13.88
circle,left,True,0.398,14.78
square,right,True,0.401,15.81
triangle,left,False,0.399,16.84
square,right,True,0.365,17.83
square,right,True,0.399,18.89
circle,left,True,0.332,19.85
circle,left,True,0.396,20.95
square,right,True,0.365,21.94
circle,left,True,0.43,23.03
square,left,False,0.298,23.93
triangle,right,True,0.232,24.89
hexagon,right,True,0.265,25.95
hexagon,right,True,0.364,27.08
hexagon,right,True,0.266,28.01
square,right,True,0.43,29.2
triangle,left,False,0.43,30.22
triangle,right,True,0.397,31.22
square,right,True,0.3,32.15
hexagon,right,True,0.266,33.14
hexagon,right,True,0.297,34.2
circle,right,False,0.265,35.2
triangle,left,False,0.331,36.29
triangle,right,True,0.299,37.29
triangle,right,True,0.233,38.25
circle,right,False,0.265,39.31
hexagon,right,True,0.267,40.34
circle,right,False,0.234,41.33
hexagon,right,True,0.233,42.36
hexagon,right,True,0.297,43.45
hexagon,right,True,0.297,44.48
circle,left,True,0.298,45.51
circle,right,False,0.265,46.5
triangle,right,True,0.3,47.56
square,right,True,0.366,48.63
square,right,True,0.298,49.59
circle,right,False,0.264,50.58
hexagon,right,True,0.266,51.61
square,right,True,0.298,52.67
square,right,True,0.3,53.7
hexagon,right,True,0.43,54.86
hexagon,left,False,0.198,55.65
square,left,False,0.199,56.68
square,left,False,0.231,57.74
triangle,right,True,0.334,58.87
hexagon,right,True,0.298,59.86
