
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.18,1.574
1.18,0.0381
2.18,1.194
3.18,1.148
4.18,0.5898
5.18,1.3924
6.18,0.8719
7.18,0.8623
8.18,1.0834
9.18,0.0373
10.18,0.7046
11.18,1.8318
12.18,1.6331
13.18,0.1239
14.18,0.6291
15.18,1.3981
16.18,0.0928
17.18,1.9722
18.18,1.622
19.18,1.19
20.18,1.6738
21.18,1.298
22.18,1.1699
23.18,0.4253
24.18,0.6837
25.18,0.5766
26.18,0.4797
27.18,0.776
28.18,1.0699
29.18,0.0333
30.18,1.0476
31.18,1.9755
32.18,0.2658
33.18,1.7853
34.18,1.7795
35.18,1.9138
36.18,0.1881
37.18,1.1003
38.18,0.5444
39.18,0.477
40.18,0.2378
41.18,0.9207
42.18,1.3347
43.18,1.5209
44.18,0.0286

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.97,0.1249
1.97,0.0559
2.97,1.3484
3.97,0.2502
4.97,0.6094
5.97,1.974
6.97,1.5195
7.97,1.7139
8.97,1.3758
9.97,1.551
10.97,1.9238
11.97,1.1684
12.97,0.3284
13.97,1.7888
14.97,0.1566
15.97,1.409
16.97,0.4697
17.97,0.4253
18.97,0.3577
19.97,1.6843
20.97,0.4099
21.97,0.9373
22.97,0.8649
23.97,0.6334
24.97,1.3005
25.97,1.9439
26.97,1.1439
27.97,1.434
28.97,0.4717
29.97,1.6091
30.97,0.6009
31.97,0.6542
32.97,0.5451
33.97,0.277
34.97,0.3005
35.97,0.5583
36.97,1.5241
37.97,0.1463
38.97,0.0592
39.97,1.1325
40.97,0.2046
41.97,0.3983
42.97,0.8719
43.97,0.0519
44.97,0.2536

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.78,1.6727
1.78,0.2865
2.78,1.6196
3.78,1.8084
4.78,0.6276
5.78,1.0462
6.78,0.0891
7.78,1.5796
8.78,1.8741
9.78,1.8749
10.78,1.0442
11.78,0.9763
12.78,1.9007
13.78,1.1759
14.78,0.7721
15.78,1.9946
16.78,1.1362
17.78,1.6646
18.78,1.0728
19.78,1.7169
20.78,1.324
21.78,1.8912
22.78,1.0504
23.78,1.946
24.78,1.9984
25.78,0.7316
26.78,1.0004
27.78,0.821
28.78,1.3191
29.78,1.1501
30.78,0.867
31.78,0.729
32.78,0.3248
33.78,0.9282
34.78,0.4204
35.78,0.2155
36.78,1.4802
37.78,1.86
38.78,0.4006
39.78,1.5275
40.78,1.4473
41.78,0.1351
42.78,1.7281
43.78,0.6231
44.78,1.9189

Level: target_lvl1
Time,Entropy
0.72,1.3065
1.72,1.6493
2.72,1.079
3.72,1.3845
4.72,1.6377
5.72,1.1034
6.72,1.6343
7.72,1.5747
8.72,0.8736
9.72,1.2629
10.72,0.3047
11.72,0.3929
12.72,0.1357
13.72,1.8719
14.72,0.8329
15.72,1.2497
16.72,0.7093
17.72,0.8981
18.72,0.0725
19.72,0.5772
20.72,0.3589
21.72,0.6201
22.72,1.9936
23.72,1.7536
24.72,0.0031
25.72,0.2606
26.72,0.2752
27.72,0.9654
28.72,1.1953
29.72,0.9819
30.72,1.4495
31.72,0.0696
32.72,1.8231
33.72,1.3878
34.72,1.323
35.72,0.4549
36.72,1.0459
37.72,0.7748
38.72,1.6207
39.72,0.4524
40.72,0.1502
41.72,1.0973
42.72,1.9451
43.72,0.9498
44.72,1.9776
45.72,1.4861
46.72,1.5862
47.72,1.9726
48.72,0.8728
49.72,0.3491
50.72,1.7895
51.72,0.4357
52.72,0.4563
53.72,1.7191
54.72,0.8903
55.72,0.8064
56.72,0.279
57.72,1.289
58.72,1.4181
59.72,1.8729
60.72,0.8381
61.72,1.3161
62.72,0.5988
63.72,0.0286
64.72,1.492
65.72,0.864
66.72,1.4232
67.72,0.2738
68.72,1.6226
69.72,1.2427
70.72,1.0594
71.72,0.0159
72.72,1.4459
73.72,0.9423
74.72,1.691
75.72,1.4728
76.72,0.8969
77.72,1.5649
78.72,0.1078
79.72,0.7707
80.72,1.6021
81.72,1.2371
82.72,1.6141
83.72,1.6736
84.72,1.1678
85.72,1.0669
86.72,0.541
87.72,1.8153
88.72,0.1331
89.72,1.3194
90.72,1.5549
91.72,0.8957
92.72,0.0674
93.72,1.6064
94.72,1.2585
95.72,0.7159
96.72,1.0905
97.72,1.1333
98.72,1.548
99.72,0.7524
100.72,1.5166
101.72,0.3044
102.72,0.777
103.72,0.6975
104.72,1.3479
105.72,0.8604
106.72,1.563
107.72,1.6173
108.72,1.1294
109.72,0.4962
110.72,0.5585
111.72,0.8307
112.72,0.212
113.72,0.8109
114.72,1.3816
115.72,1.8539
116.72,0.3043
117.72,1.0758
118.72,0.4479
119.72,1.2776
