Time,Shape,Color,PressedKey,Result
2.06,circle,green,LEFT,wrong
6.82,triangle,orange,RIGHT,correct
9.57,triangle,orange,RIGHT,correct
12.94,square,white,RIGHT,wrong
18.92,square,grey,RIGHT,wrong
21.9,triangle,blue,RIGHT,wrong
23.62,circle,pink,RIGHT,wrong
24.95,triangle,blue,RIGHT,wrong
26.34,square,blue,RIGHT,wrong
27.93,triangle,blue,RIGHT,wrong
31.04,square,pink,RIGHT,wrong
34.02,circle,yellow,RIGHT,wrong
35.45,square,yellow,LEFT,correct
36.97,triangle,yellow,LEFT,correct
38.5,square,red,RIGHT,wrong
39.99,circle,orange,LEFT,wrong
43.17,circle,blue,LEFT,wrong
