Time,Entropy
0.2,1.6573
1.2,0.8018
2.2,1.2147
3.2,0.2993
4.2,1.0337
5.2,1.0623
6.2,1.6856
7.2,0.7139
8.2,1.8706
9.2,0.6071
10.2,0.3632
11.2,1.3157
12.2,0.5587
13.2,0.2741
14.2,1.5844
15.2,0.8789
16.2,1.0447
17.2,0.7281
18.2,0.5864
19.2,0.8275
20.2,1.2265
21.2,1.2889
22.2,1.8365
23.2,1.1232
24.2,1.3319
25.2,1.9623
26.2,0.9883
27.2,0.396
28.2,0.9934
29.2,0.6619
30.2,0.8966
31.2,1.1657
32.2,1.1819
33.2,0.7365
34.2,0.0016
35.2,0.556
36.2,0.3389
37.2,0.094
38.2,0.2908
39.2,0.8883
40.2,0.9313
41.2,0.8231
42.2,1.7695
43.2,0.1779
44.2,0.5021
45.2,0.6262
46.2,0.4413
47.2,1.1077
48.2,0.8657
49.2,1.1416
50.2,1.2352
51.2,0.5655
52.2,1.8044
53.2,1.8288
54.2,0.9413
55.2,1.1061
56.2,0.5631
57.2,0.0716
58.2,1.4279
59.2,1.0232
60.2,1.7846
