Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.25,0.8193
1.25,1.713
2.25,0.2019
3.25,1.5429
4.25,0.9068
5.25,1.2643
6.25,0.5755
7.25,1.0337
8.25,1.3424
9.25,0.9437
10.25,0.0447
11.25,1.1219
12.25,0.5556
13.25,1.3275
14.25,1.985
15.25,0.9813
16.25,1.2612
17.25,0.5311
18.25,1.0396
19.25,1.9696
20.25,0.756
21.25,0.3727
22.25,0.5509
23.25,1.9644
24.25,1.3896
25.25,1.029
26.25,0.8755
27.25,0.7131
28.25,0.2058
29.25,1.1666
30.25,0.0388
31.25,0.4686
32.25,0.6214
33.25,1.1013
34.25,1.666
35.25,0.4477
36.25,0.2949
37.25,0.7792
38.25,0.8761
39.25,0.3593
40.25,1.5621
41.25,0.5497
42.25,0.9784
43.25,0.3598
44.25,0.1488
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.04,1.286
1.04,1.3435
2.04,0.4549
3.04,1.1432
4.04,1.0459
5.04,1.3866
6.04,0.4004
7.04,1.0676
8.04,1.6531
9.04,0.8126
10.04,0.2279
11.04,1.8189
12.04,1.814
13.04,0.7625
14.04,0.4017
15.04,0.3088
16.04,0.4932
17.04,0.0335
18.04,1.7328
19.04,0.8028
20.04,0.4647
21.04,0.3845
22.04,0.4578
23.04,1.2825
24.04,1.203
25.04,0.6722
26.04,0.6012
27.04,1.7482
28.04,1.9395
29.04,0.4372
30.04,0.6949
31.04,1.8299
32.04,1.195
33.04,0.4511
34.04,0.3746
35.04,1.9393
36.04,0.2186
37.04,1.2174
38.04,0.7994
39.04,1.5018
40.04,0.0157
41.04,1.1185
42.04,0.7762
43.04,1.9125
44.04,0.1158
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.86,0.07
1.86,1.1586
2.86,1.0177
3.86,0.2654
4.86,1.0106
5.86,1.4374
6.86,0.125
7.86,0.4042
8.86,0.2815
9.86,0.8071
10.86,0.6068
11.86,1.2406
12.86,0.4302
13.86,0.6402
14.86,0.4616
15.86,0.6072
16.86,0.3494
17.86,0.609
18.86,1.5509
19.86,0.1646
20.86,1.5379
21.86,0.0725
22.86,1.7991
23.86,0.882
24.86,0.9779
25.86,1.9795
26.86,0.9434
27.86,1.2979
28.86,0.1118
29.86,1.3516
30.86,1.9668
31.86,1.3455
32.86,1.7494
33.86,0.9164
34.86,1.7547
35.86,0.4518
36.86,0.0548
37.86,1.9891
38.86,1.8668
39.86,1.4257
40.86,0.162
41.86,0.7045
42.86,1.7227
43.86,1.7165
44.86,0.4854
