Time,Entropy
0.96,1.9606
1.96,0.3434
2.96,1.7866
3.96,1.026
4.96,1.4698
5.96,1.3184
6.96,0.8059
7.96,1.7377
8.96,1.0267
9.96,1.2707
10.96,1.376
11.96,0.6925
12.96,1.1152
13.96,0.9315
14.96,1.7295
15.96,0.3045
16.96,0.4365
17.96,1.9798
18.96,0.632
19.96,1.0983
20.96,0.3529
21.96,1.4959
22.96,1.5704
23.96,1.8627
24.96,0.896
25.96,0.5122
26.96,1.1334
27.96,1.6706
28.96,1.2395
29.96,0.6225
30.96,0.7158
31.96,0.2864
32.96,1.1089
33.96,1.6346
34.96,0.4901
35.96,1.4895
36.96,0.5258
37.96,1.5029
38.96,1.3867
39.96,1.5245
40.96,0.8608
41.96,0.9141
42.96,1.8364
43.96,0.5136
44.96,1.7787
45.96,1.606
46.96,1.1284
47.96,0.8151
48.96,0.8702
49.96,0.8376
50.96,1.3154
51.96,1.0782
52.96,1.4487
53.96,0.7856
54.96,1.0798
55.96,1.1033
56.96,0.992
57.96,0.9642
58.96,1.9582
59.96,0.5986
60.96,0.3997
61.96,0.0594
62.96,1.1528
63.96,0.9826
64.96,0.5601
65.96,0.4316
66.96,1.2136
67.96,1.836
68.96,0.7569
69.96,1.7152
70.96,1.3956
71.96,1.0228
72.96,1.6941
73.96,1.2379
74.96,0.1804
75.96,1.4151
76.96,1.7866
77.96,0.584
78.96,1.3221
79.96,0.6965
80.96,0.3442
81.96,1.8574
82.96,0.8932
83.96,1.6233
84.96,0.3952
85.96,0.2721
86.96,1.1021
87.96,0.3682
88.96,1.3024
89.96,0.1402
90.96,1.8801
91.96,1.0661
92.96,1.9642
93.96,1.3176
94.96,1.9804
95.96,0.1503
96.96,0.9529
97.96,0.0694
98.96,1.2139
99.96,1.7883
100.96,0.4072
101.96,0.8387
102.96,1.2463
103.96,0.5959
104.96,1.8091
105.96,0.6439
106.96,1.0901
107.96,1.1023
108.96,0.5944
109.96,0.2034
110.96,1.5983
111.96,0.9072
112.96,1.05
113.96,0.6936
114.96,1.3972
115.96,1.7696
116.96,1.3518
117.96,0.7575
118.96,0.7479
119.96,0.395
120.96,0.622
121.96,1.2111
122.96,1.9678
123.96,0.5281
124.96,0.0234
125.96,1.4762
126.96,1.8048
127.96,1.6468
128.96,0.421
129.96,1.9152
130.96,1.8001
131.96,0.5928
132.96,1.4405
133.96,1.9034
134.96,0.1078
135.96,1.8407
136.96,1.8315
137.96,1.642
138.96,0.2473
139.96,1.8787
140.96,0.3978
141.96,1.9941
142.96,1.3552
143.96,1.6557
144.96,0.8201
145.96,0.0906
146.96,1.2708
147.96,0.9127
148.96,0.5713
149.96,0.186
