
Level: target_lvl2
Time,Entropy
0.86,1.4489
1.86,1.8954
2.86,0.4316
3.86,0.5492
4.86,0.2317
5.86,1.5522
6.86,1.023
7.86,0.0642
8.86,0.4497
9.86,1.1663
10.86,1.8436
11.86,1.632
12.86,0.1874
13.86,0.9956
14.86,0.8188
15.86,0.2055
16.86,0.1021
17.86,0.8453
18.86,0.3614
19.86,0.2453
20.86,1.3112
21.86,0.6275
22.86,1.3236
23.86,1.428
24.86,0.3262
25.86,1.1761
26.86,1.5298
27.86,0.3709
28.86,1.2489
29.86,0.1597
30.86,1.5141
31.86,1.7855
32.86,0.3506
33.86,1.2004
34.86,0.1117
35.86,1.8804
36.86,1.5381
37.86,0.9926
38.86,1.3077
39.86,0.4135
40.86,0.9664
41.86,1.2864
42.86,1.2608
43.86,1.8601
44.86,0.4334
45.86,1.7407
46.86,0.8775
47.86,0.6306
48.86,0.4408
49.86,0.4169
50.86,1.9392
51.86,1.7142
52.86,1.5754
53.86,0.5443
54.86,1.8439
55.86,0.4114
56.86,0.7571
57.86,1.8689
58.86,1.3763
59.86,1.7985
60.86,0.4706
61.86,0.9536
62.86,1.6618
63.86,1.7871
64.86,1.2746
65.86,0.615
66.86,1.8797
67.86,1.1871
68.86,0.9873
69.86,1.2768
70.86,0.7804
71.86,0.3918
72.86,1.7229
73.86,0.0561
74.86,1.346
75.86,1.3869
76.86,0.9359
77.86,0.7569
78.86,0.1953
79.86,1.9143
80.86,1.5389
81.86,0.4882
82.86,1.9832
83.86,0.0557
84.86,1.4179
85.86,0.6012
86.86,0.6481
87.86,1.188
88.86,0.3249
89.86,0.1218
90.86,1.251
91.86,1.6875
92.86,1.5244
93.86,1.5517
94.86,0.7217
95.86,0.7954
96.86,1.5329
97.86,1.9715
98.86,1.6138
99.86,0.8812
100.86,0.3714
101.86,1.7919
102.86,1.5128
103.86,1.632
104.86,1.4799
105.86,0.584
106.86,0.3047
107.86,1.5495
108.86,0.1845
109.86,1.5426
110.86,1.0938
111.86,0.8964
112.86,0.508
113.86,1.2151
114.86,1.161
115.86,1.5143
116.86,0.2215
117.86,1.6383
118.86,0.2654
119.86,0.7514
