=== Segment 1 Start: 17:07:17 | End: 17:07:42 ===
Time (s),x,y
1.33,43,14
1.4,72,14
1.46,101,14
1.53,130,14
1.93,130,43
2.0,130,72
2.46,159,72
2.52,188,72
2.59,217,72
2.66,246,72
3.85,246,43
3.91,246,14
4.37,275,14
4.44,304,14
4.51,333,14
4.57,362,14
4.64,391,14
4.71,420,14
5.17,420,43
5.23,420,72
5.3,420,101
5.37,420,130
5.43,420,159
5.5,420,188
5.9,391,188
5.96,362,188
6.29,362,159
6.36,362,130
6.43,362,101
6.49,362,72
6.82,333,72
6.89,304,101
7.35,304,130
7.42,304,159
7.48,304,188
7.95,275,188
8.21,246,188
8.67,246,159
8.74,246,130
8.94,217,130
9.54,188,130
9.6,159,130
9.67,130,130
10.2,130,159
10.26,130,188
10.86,101,188
10.99,72,188
11.05,43,188
11.12,14,188
11.65,14,217
11.71,14,246
12.11,43,246
12.18,72,246
13.77,72,275
13.83,72,304
14.23,43,304
14.3,14,333
14.89,14,362
15.35,43,362
15.42,72,362
15.48,101,362
15.55,130,362
16.15,130,391
16.21,130,420
16.61,159,420
16.67,188,420
17.0,188,449
17.08,188,478
17.6,217,478
17.67,246,478
17.73,275,478
17.8,304,478
18.26,304,449
18.33,304,420
18.66,275,420
18.73,246,420
19.12,246,391
19.19,246,362
19.65,275,362
19.72,304,362
20.05,304,333
20.12,304,304
20.18,304,275
20.25,304,246
20.71,333,246
20.78,362,246
21.11,362,275
21.18,362,304
21.57,391,304
21.64,420,304
22.04,420,333
22.1,420,362
22.3,449,362
22.37,478,362
22.63,478,391
22.7,478,420
22.9,507,420
22.96,536,420
23.03,565,420
23.1,594,420
23.16,623,420
23.23,652,420
23.36,652,449
23.43,652,478
23.69,681,478
23.76,710,478
23.96,710,449
24.62,710,420
25.01,739,420
25.08,768,420
25.34,768,449
25.41,768,478

=== Segment 2 Start: 17:07:42 | End: 17:07:52 ===
Time (s),x,y
1.32,42,14
1.39,70,14
1.66,70,42
1.72,70,70
2.65,42,70
2.71,14,70
3.11,14,98
3.18,14,126
4.17,42,126
4.23,70,126
4.3,98,126
4.37,126,126
4.43,154,126
4.5,182,126
4.56,210,126
4.63,238,126
4.96,238,154
5.03,238,182
5.63,210,182
5.69,182,182
6.15,182,210
6.22,182,238
6.29,182,266
6.35,182,294
6.82,210,294
6.88,238,294
7.88,238,266
7.94,238,238
8.47,266,238
8.54,294,238
8.6,322,238
8.67,350,238
9.2,350,210
9.27,350,182
9.33,350,154
9.4,350,126

=== Segment 3 Start: 17:07:52 | End: 17:08:03 ===
Time (s),x,y
0.92,13,40
0.99,13,67
1.06,13,94
1.12,13,121
1.19,13,148
1.26,13,175
1.32,13,202
1.79,13,229
2.25,40,229
2.31,67,229
2.71,67,256
2.78,67,283
3.17,94,283
3.24,121,283
3.31,148,283
3.37,175,283
3.44,202,283
3.5,229,283
3.57,256,283
3.64,283,283
4.03,283,310
4.1,283,337
4.23,310,337
4.36,337,337
4.43,364,337
4.5,391,337
4.89,391,310
4.96,391,283
5.02,391,256
5.62,391,229
6.08,364,229
6.15,337,229
6.21,310,229
6.28,283,229
6.74,283,202
6.81,283,175
7.27,310,175
7.33,337,175
7.4,364,175
7.47,391,175
7.93,391,148
8.0,391,121
8.06,391,94
8.13,391,67
9.33,418,67
9.39,445,67
9.72,445,40
9.79,418,13
10.05,391,13
10.44,364,13
10.51,337,13
10.58,310,13
10.64,283,13
10.71,256,13
10.77,229,13
10.84,202,13
10.91,175,13
11.17,175,40
11.24,175,67
11.44,148,67
11.5,121,67
11.57,94,67
11.63,67,67
11.77,67,40
11.83,67,13

=== Segment 4 Start: 17:08:03 | End: 17:08:23 ===
Time (s),x,y
0.86,45,15
0.93,75,15
1.13,75,45
1.2,75,75
1.26,75,105
1.32,75,135
1.39,75,165
1.46,75,195
1.65,45,195
1.72,15,195
1.98,15,225
2.05,15,255
2.25,45,255
2.31,75,255
2.58,75,285
2.65,75,315
2.98,45,315
3.04,15,315
3.37,15,345
3.44,15,375
4.23,15,405
4.3,15,435
4.36,15,465
4.43,15,495
4.7,45,495
4.76,75,495
5.16,75,525
5.22,105,555
5.56,135,555
6.08,135,525
6.15,135,495
6.55,165,495
6.61,195,495
6.68,225,495
6.75,255,495
7.08,255,525
7.14,255,555
7.34,285,555
7.41,315,555
7.8,315,525
7.87,315,495
8.0,345,495
8.07,375,495
8.13,405,495
8.2,435,495
8.27,465,495
8.33,495,495
8.4,525,495
8.46,555,495
8.93,555,525
8.99,555,555
9.13,585,555
9.19,615,555
9.59,615,525
9.65,615,495
9.72,615,465
9.79,615,435
9.86,615,405
9.92,615,375
9.98,615,345
10.05,615,315
10.71,585,315
10.78,555,315
11.24,555,345
11.31,555,375
11.37,555,405
11.44,555,435
11.77,525,435
11.84,495,435
11.9,465,435
11.97,435,435
12.03,405,435
12.1,375,435
12.17,345,435
12.23,315,435
12.56,315,405
12.63,315,375
12.96,285,375
13.03,255,375
13.42,255,345
13.49,255,315
13.69,285,315
13.76,315,315
14.02,315,285
14.09,315,255
14.29,285,255
14.49,255,255
14.75,225,255
14.82,195,255
15.14,195,225
15.21,195,195
15.47,225,195
15.55,255,195
15.74,255,165
15.8,255,135
16.07,225,135
16.13,195,135
16.2,165,135
16.27,135,135
16.53,135,105
16.6,135,75
16.66,135,45
16.73,165,15
16.93,195,15
16.99,225,15
17.06,255,15
18.38,255,45
18.45,255,75
18.65,285,75
18.71,315,75
18.78,345,75
18.84,375,75
18.91,405,75
18.98,435,75
19.04,465,75
19.11,495,75
19.38,495,45
19.44,465,15
19.84,495,15
19.91,525,15
19.97,555,15
20.04,585,15

=== Segment 5 Start: 17:08:23 | End: 17:08:36 ===
Time (s),x,y
0.07,51,17
0.13,85,17
0.2,119,17
0.27,153,17
0.92,153,51
0.99,153,85
1.25,119,85
1.32,85,85
1.39,51,85
1.45,17,85
1.72,17,119
1.92,17,153
1.98,17,187
2.05,17,221
2.12,17,255
2.18,17,289
2.38,51,289
2.45,85,289
2.52,119,289
2.58,153,289
3.64,153,323
4.1,187,357
4.17,221,391
4.24,255,425
4.3,289,459
4.63,323,493
4.77,357,493
4.83,391,493
4.9,425,493
5.16,425,459
5.62,391,425
5.89,357,391
6.22,357,357
6.29,357,323
6.35,391,289
6.62,425,289
6.68,459,289
6.75,493,289
7.48,493,323
7.54,493,357
7.94,527,357
8.01,561,357
8.27,561,323
8.34,561,289
8.4,561,255
8.47,561,221
8.54,561,187
8.6,561,153
8.8,527,153
8.87,493,153
9.13,493,187
9.2,493,221
9.46,459,221
9.53,425,221
9.59,391,221
9.66,357,221
9.92,357,187
9.99,357,153
10.52,357,119
10.59,357,85
11.11,391,85
11.18,425,85
11.25,459,85
11.31,493,85
11.58,493,51
11.64,493,17
11.84,459,17
11.91,425,17
11.98,391,17
12.04,357,17
12.11,323,17
12.17,289,17
12.24,255,17

=== Segment 6 Start: 17:08:36 | End: 17:08:39 ===
Time (s),x,y
1.06,39,13
1.12,65,13
1.26,65,39
1.32,65,65
1.72,39,65
1.78,13,65
2.12,13,91
2.18,39,117
2.25,65,143
2.71,65,169
2.78,65,195
2.84,65,221
2.91,65,247
2.97,65,273
3.24,91,273
3.31,117,273
3.37,143,273
3.44,169,273
3.5,195,273

=== Segment 7 Start: 17:08:39 | End: 17:08:48 ===
Time (s),x,y
1.06,16,49
1.12,16,82
1.32,49,82
1.39,82,82
1.59,82,115
1.65,82,148
1.72,82,181
1.79,82,214
2.12,49,214
2.18,16,214
2.51,16,247
2.58,16,280
2.78,49,280
2.84,82,280
3.11,82,313
3.17,82,346
3.44,49,346
3.5,16,346
3.9,16,379
3.96,16,412
4.03,16,445
4.1,16,478
4.16,16,511
4.23,16,544
4.49,49,544
4.56,82,544
4.63,115,544
4.69,148,544
4.76,181,544
4.82,214,544
5.02,214,511
5.09,214,478
5.16,214,445
5.22,214,412
5.29,214,379
5.36,214,346
6.02,247,346
6.08,280,346
6.74,280,379
6.8,280,412
7.13,313,412
7.2,346,412
7.27,379,412
7.33,412,379
7.6,412,346
7.86,379,346
7.92,346,346
8.19,346,313
8.26,346,280
8.45,379,280
8.53,412,280
8.59,445,280
8.66,478,313
8.72,511,346

=== Segment 8 Start: 17:08:48 | End: 17:08:53 ===
Time (s),x,y
0.99,48,16
1.06,80,16
1.19,80,48
1.26,80,80
1.65,48,80
1.72,16,80
2.11,16,112
2.18,16,144
2.25,16,176
2.31,16,208
2.58,48,208
2.64,80,208
2.97,80,240
3.04,80,272
3.37,112,272
3.44,144,272
3.7,144,240
3.77,144,208
3.83,144,176
3.9,144,144
3.97,144,112
4.03,144,80
4.3,176,80
4.36,208,80
4.63,208,112
4.69,208,144
4.76,208,176
4.82,208,208
4.89,208,240
4.96,208,272
5.02,208,304

=== Segment 9 Start: 17:08:53 | End: 17:09:12 ===
Time (s),x,y
0.06,17,51
0.13,17,85
0.2,17,119
0.73,17,153
1.19,51,153
1.26,85,153
1.85,85,187
1.92,85,221
2.31,119,221
2.38,153,221
3.17,153,255
3.24,153,289
3.31,153,323
3.37,153,357
3.44,153,391
3.5,153,425
3.77,187,425
3.83,221,425
4.23,221,459
4.3,221,493
4.63,255,493
4.7,289,493
5.09,289,527
5.16,289,561
5.36,323,561
5.42,357,561
6.22,357,527
6.28,357,493
6.68,391,493
6.75,425,493
6.81,459,493
6.88,493,493
7.48,493,459
7.54,493,425
8.01,527,425
8.07,561,425
8.14,595,425
8.2,629,425
8.54,629,391
8.6,629,357
8.8,663,357
8.87,697,357
8.93,731,357
9.0,765,357
9.26,765,323
9.33,731,289
9.59,697,289
9.66,663,289
9.72,629,289
9.79,595,289
9.86,561,289
10.18,561,323
10.25,561,357
10.58,527,357
10.65,493,357
10.71,459,357
10.78,425,357
10.84,391,357
10.91,357,357
11.11,357,323
11.18,357,289
11.24,357,255
11.31,357,221
11.38,357,187
11.44,357,153
11.64,391,153
11.71,425,153
12.1,425,119
