
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.49,0.5607
1.49,0.8526
2.49,1.0668
3.49,1.2959
4.49,0.1302
5.49,0.7817
6.49,1.0489
7.49,1.2857
8.49,0.3747
9.49,1.2267
10.49,0.6992
11.49,1.3674
12.49,0.314
13.49,0.5293
14.49,0.7041
15.49,0.1443
16.49,1.062
17.49,1.8545
18.49,1.0222
19.49,1.3739
20.49,1.9934
21.49,1.4095
22.49,1.9371
23.49,0.0516
24.49,0.5704
25.49,1.1137
26.49,0.0102
27.49,0.8626
28.49,0.1742
29.49,0.8034
30.49,0.5692
31.49,0.9704
32.49,1.3894
33.49,1.3676
34.49,1.9915
35.49,1.9459
36.49,1.2902
37.49,1.904
38.49,1.9116
39.49,0.3625
40.49,0.3519
41.49,1.3462
42.49,1.2452
43.49,0.9704
44.49,1.6898

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.29,0.6391
1.29,1.3821
2.29,1.7875
3.29,0.2764
4.29,1.9898
5.29,1.2541
6.29,1.6204
7.29,1.2087
8.29,1.4408
9.29,0.0964
10.29,0.5598
11.29,0.3902
12.29,0.247
13.29,1.0917
14.29,0.594
15.29,0.015
16.29,1.0333
17.29,0.0959
18.29,1.5176
19.29,1.913
20.29,1.3858
21.29,0.7875
22.29,0.1822
23.29,1.9819
24.29,0.558
25.29,0.5266
26.29,1.968
27.29,0.1304
28.29,0.8525
29.29,0.9112
30.29,0.7497
31.29,0.9281
32.29,1.392
33.29,0.023
34.29,1.5993
35.29,0.4326
36.29,1.0159
37.29,0.9473
38.29,1.8985
39.29,0.3941
40.29,1.7496
41.29,1.1491
42.29,0.6609
43.29,0.5111
44.29,1.8963

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.08,1.1402
1.08,1.8021
2.08,1.189
3.08,1.4082
4.08,1.9914
5.08,1.1249
6.08,1.7991
7.08,1.3902
8.08,0.4593
9.08,0.1204
10.08,1.6515
11.08,0.2497
12.08,1.6956
13.08,1.8701
14.08,1.6799
15.08,0.0592
16.08,1.2949
17.08,0.3319
18.08,0.3695
19.08,1.5637
20.08,1.7892
21.08,1.2667
22.08,0.7204
23.08,0.8845
24.08,1.1975
25.08,0.891
26.08,1.8676
27.08,1.0008
28.08,1.1198
29.08,0.3099
30.08,1.1889
31.08,0.2408
32.08,0.7629
33.08,1.9697
34.08,1.5006
35.08,1.4449
36.08,1.1131
37.08,1.6905
38.08,1.4768
39.08,1.7963
40.08,0.4688
41.08,0.6089
42.08,0.5684
43.08,1.6495
44.08,1.7703

Level: target_lvl1
Time,Entropy
0.89,0.7009
1.89,1.6475
2.89,1.3454
3.89,0.0393
4.89,0.7306
5.89,1.7017
6.89,1.9755
7.89,1.5837
8.89,0.4248
9.89,0.6734
10.89,1.5185
11.89,0.1348
12.89,0.9127
13.89,0.9158
14.89,0.8267
15.89,1.0734
16.89,0.8833
17.89,0.1816
18.89,1.8531
19.89,0.154
20.89,0.7023
21.89,1.7044
22.89,1.166
23.89,0.9651
24.89,1.1161
25.89,0.7795
26.89,1.5185
27.89,0.3783
28.89,0.754
29.89,0.8233
30.89,0.2077
31.89,0.5524
32.89,1.3157
33.89,1.4108
34.89,1.2855
35.89,0.6363
36.89,0.1522
37.89,1.872
38.89,1.7831
39.89,1.0938
40.89,0.8125
41.89,0.547
42.89,1.5061
43.89,0.2719
44.89,0.7051
45.89,0.0763
46.89,0.2972
47.89,0.4176
48.89,1.7927
49.89,1.1083
50.89,0.8871
51.89,1.2576
52.89,1.7506
53.89,1.7021
54.89,0.1278
55.89,1.4164
56.89,1.9804
57.89,0.7087
58.89,0.0446
59.89,1.3033
60.89,1.7007
61.89,1.8805
62.89,1.5598
63.89,0.5941
64.89,0.9196
65.89,0.4169
66.89,0.1191
67.89,1.7383
68.89,1.4759
69.89,0.4852
70.89,0.5007
71.89,1.3457
72.89,1.2699
73.89,0.3987
74.89,1.0054
75.89,0.4222
76.89,0.5173
77.89,0.854
78.89,0.0955
79.89,0.6686
80.89,1.7701
81.89,0.8731
82.89,1.1504
83.89,0.985
84.89,1.3471
85.89,0.8931
86.89,1.3987
87.89,0.9999
88.89,1.0011
89.89,1.6388
90.89,1.3351
91.89,1.0888
92.89,1.7599
93.89,0.7046
94.89,1.1707
95.89,0.4195
96.89,0.3646
97.89,1.9436
98.89,0.3275
99.89,1.2244
100.89,0.3361
101.89,0.5883
102.89,0.5654
103.89,0.6167
104.89,1.3775
105.89,1.5295
106.89,0.4982
107.89,0.565
108.89,1.8549
109.89,0.0674
110.89,1.1147
111.89,1.8039
112.89,0.5906
113.89,0.9585
114.89,0.8747
115.89,1.2385
116.89,1.5156
117.89,0.9823
118.89,0.9086
119.89,0.8554
