Time,Shape,Color,PressedKey,Result
3.72,circle,pink,LEFT,correct
5.01,circle,yellow,RIGHT,wrong
6.74,square,green,RIGHT,wrong
8.16,circle,orange,LEFT,correct
9.62,triangle,green,RIGHT,correct
11.25,triangle,pink,RIGHT,correct
21.95,square,green,RIGHT,wrong
23.44,triangle,blue,RIGHT,correct
26.06,circle,red,RIGHT,wrong
28.08,circle,blue,LEFT,correct
29.54,circle,yellow,LEFT,correct
31.23,circle,green,LEFT,correct
32.42,circle,red,RIGHT,wrong
37.09,square,blue,RIGHT,wrong
38.62,triangle,yellow,RIGHT,correct
40.11,triangle,yellow,RIGHT,correct
43.42,square,grey,RIGHT,wrong
44.85,circle,pink,LEFT,correct
