Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.85,1.4022
1.85,1.9629
2.85,0.2507
3.85,1.7014
4.85,0.7788
5.85,1.1866
6.85,1.0276
7.85,1.8722
8.85,0.469
9.85,1.8977
10.85,0.8948
11.85,1.0907
12.85,1.585
13.85,1.7047
14.85,1.8515
15.85,1.8314
16.85,0.1429
17.85,1.3079
18.85,1.6537
19.85,1.793
20.85,1.0026
21.85,1.9159
22.85,0.6365
23.85,0.9987
24.85,1.9598
25.85,1.4181
26.85,0.4933
27.85,0.6083
28.85,1.5024
29.85,1.8043
30.85,0.3065
31.85,1.2813
32.85,0.7365
33.85,1.6343
34.85,1.4462
35.85,0.3202
36.85,0.3863
37.85,1.1502
38.85,0.1388
39.85,0.3676
40.85,0.5733
41.85,1.3626
42.85,0.4964
43.85,0.3153
44.85,0.9941
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.65,1.3573
1.65,1.4193
2.65,0.8832
3.65,0.3731
4.65,1.2115
5.65,0.2315
6.65,1.1204
7.65,1.0606
8.65,0.4344
9.65,0.7302
10.65,0.8106
11.65,1.9706
12.65,0.0526
13.65,1.6069
14.65,0.3864
15.65,0.2339
16.65,0.7455
17.65,0.6876
18.65,0.7876
19.65,0.14
20.65,0.4816
21.65,1.0974
22.65,0.8891
23.65,0.2378
24.65,0.3678
25.65,0.1847
26.65,0.5264
27.65,0.6606
28.65,0.6521
29.65,1.7143
30.65,1.2283
31.65,0.194
32.65,1.6552
33.65,1.6878
34.65,1.4579
35.65,1.197
36.65,1.5293
37.65,0.2425
38.65,1.0426
39.65,0.1485
40.65,1.6045
41.65,0.9681
42.65,0.2607
43.65,0.9831
44.65,0.2418
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.45,0.9838
1.45,1.0011
2.45,0.3954
3.45,1.1212
4.45,0.0633
5.45,0.9832
6.45,0.141
7.45,0.5656
8.45,0.3405
9.45,0.2431
10.45,1.3541
11.45,0.2875
12.45,0.3898
13.45,0.9646
14.45,1.5546
15.45,0.3783
16.45,1.4024
17.45,0.8762
18.45,0.6479
19.45,1.5189
20.45,1.122
21.45,0.9734
22.45,0.6254
23.45,1.3526
24.45,1.038
25.45,1.5937
26.45,0.3683
27.45,0.1618
28.45,0.9844
29.45,0.8429
30.45,1.9106
31.45,1.9447
32.45,1.4306
33.45,0.2784
34.45,1.1691
35.45,0.047
36.45,1.4963
37.45,0.6078
38.45,1.2114
39.45,1.4734
40.45,1.0362
41.45,0.1865
42.45,1.5264
43.45,1.9894
44.45,0.1783
