
Level: target_lvl2
Time,Entropy
0.15,0.7489
1.15,1.4717
2.15,0.7862
3.15,1.3475
4.15,0.4562
5.15,1.8635
6.15,1.8711
7.15,0.4605
8.15,1.722
9.15,0.8871
10.15,1.3175
11.15,1.2566
12.15,1.9897
13.15,1.948
14.15,1.7814
15.15,0.65
16.15,1.175
17.15,1.6361
18.15,1.2332
19.15,0.7048
20.15,1.4697
21.15,1.963
22.15,0.6232
23.15,1.2057
24.15,0.4525
25.15,1.6029
26.15,0.3366
27.15,0.3038
28.15,0.7633
29.15,1.4426
30.15,1.9407
31.15,0.2336
32.15,0.0415
33.15,1.352
34.15,1.6027
35.15,1.5898
36.15,0.7303
37.15,1.6077
38.15,0.5088
39.15,0.1465
40.15,0.0002
41.15,1.3967
42.15,1.2341
43.15,0.1753
44.15,1.3816
45.15,0.8232
46.15,1.2524
47.15,1.1613
48.15,1.2852
49.15,1.4541
50.15,0.6466
51.15,1.8753
52.15,1.0579
53.15,0.4152
54.15,1.7683
55.15,1.997
56.15,0.5466
57.15,1.914
58.15,1.8051
59.15,0.5776
60.15,0.792
61.15,1.7257
62.15,1.2163
63.15,1.8115
64.15,0.7681
65.15,0.4147
66.15,0.118
67.15,1.6945
68.15,1.1173
69.15,1.6373
70.15,1.9377
71.15,0.2532
72.15,1.7359
73.15,0.1175
74.15,1.3288
75.15,0.347
76.15,1.0573
77.15,1.5674
78.15,1.2565
79.15,0.8303
80.15,1.9411
81.15,0.3649
82.15,0.8324
83.15,1.5314
84.15,1.9754
85.15,0.3953
86.15,0.8089
87.15,0.0715
88.15,0.2197
89.15,0.6122
90.15,0.4451
91.15,1.4248
92.15,0.7786
93.15,1.6866
94.15,0.596
95.15,0.8976
96.15,0.992
97.15,0.69
98.15,1.1707
99.15,1.3034
100.15,0.0501
101.15,1.7729
102.15,1.2939
103.15,1.1988
104.15,0.9836
105.15,1.3648
106.15,0.8528
107.15,0.6417
108.15,1.7911
109.15,0.6543
110.15,0.4081
111.15,0.7355
112.15,0.1749
113.15,0.1719
114.15,0.2934
115.15,1.2474
116.15,0.7688
117.15,1.045
118.15,1.9563
119.15,1.2586

Level: target_lvl3
Time,Entropy
0.25,0.3487
1.25,1.1951
2.25,1.4125
3.25,1.2299
4.25,1.8814
5.25,1.7566
6.25,1.88
7.25,1.5804
8.25,0.9725
9.25,1.8511
10.25,0.4893
11.25,1.7671
12.25,0.6513
13.25,1.4111
14.25,1.3354
15.25,0.2807
16.25,0.6065
17.25,0.2957
18.25,0.9412
19.25,0.344
20.25,1.7861
21.25,1.2738
22.25,1.6287
23.25,0.4041
24.25,0.9169
25.25,1.8776
26.25,0.532
27.25,1.5122
28.25,0.8277
29.25,1.3444
30.25,1.0632
31.25,1.9238
32.25,0.1928
33.25,0.3183
34.25,0.3763
35.25,0.6534
36.25,1.9913
37.25,0.9517
38.25,1.3258
39.25,0.8035
40.25,1.7835
41.25,1.051
42.25,1.0181
43.25,0.1264
44.25,1.0308
45.25,0.0257
46.25,1.9854
47.25,0.7701
48.25,0.6444
49.25,1.0369
50.25,1.7762
51.25,1.4735
52.25,0.8994
53.25,1.0581
54.25,1.4943
55.25,1.8044
56.25,1.2633
57.25,1.6596
58.25,0.8149
59.25,0.131
60.25,1.8218
61.25,1.5625
62.25,1.5829
63.25,1.8635
64.25,1.5818
65.25,1.5815
66.25,1.2442
67.25,0.2594
68.25,0.3721
69.25,0.2742
70.25,0.3235
71.25,1.0094
72.25,1.2813
73.25,1.5208
74.25,1.1652
75.25,1.0206
76.25,1.8004
77.25,1.1575
78.25,1.075
79.25,0.2888
80.25,1.0307
81.25,1.6685
82.25,0.0004
83.25,0.9261
84.25,1.2112
85.25,0.8416
86.25,0.1209
87.25,0.1864
88.25,0.565
89.25,0.9198
90.25,1.6901
91.25,0.6416
92.25,0.0478
93.25,0.3371
94.25,1.5229
95.25,0.9576
96.25,0.9674
97.25,1.222
98.25,1.5667
99.25,1.7645
100.25,1.8762
101.25,1.8404
102.25,1.657
103.25,0.2518
104.25,0.1921
105.25,0.6664
106.25,0.0192
107.25,1.8055
108.25,0.6845
109.25,1.379
110.25,0.9831
111.25,0.8552
112.25,0.0471
113.25,0.886
114.25,1.8354
115.25,1.443
116.25,1.5245
117.25,1.1459
118.25,0.5517
119.25,0.3883
