=== Segment 1 Start: 15:09:08 | End: 15:09:24 ===
Time (s),x,y
1.13,52,17
1.2,87,17
1.79,122,17
1.86,157,17
2.26,157,52
2.32,157,87
2.59,122,87
2.65,87,87
2.92,87,122
2.98,87,157
3.31,122,157
3.58,157,157
3.64,192,157
3.71,227,157
4.11,227,122
4.17,227,87
4.64,262,87
4.7,297,87
5.03,297,122
5.1,297,157
5.63,332,157
5.7,367,157
6.09,367,192
6.16,367,227
6.82,332,227
6.89,297,227
6.95,262,227
7.15,227,227
7.68,227,262
7.75,227,297
8.01,192,297
8.08,157,297
8.14,122,297
8.41,87,332
8.47,52,367
8.54,17,402
8.74,17,437
9.07,52,437
9.13,87,437
9.2,122,437
9.4,157,437
9.66,157,472
9.73,157,507
9.99,192,507
10.06,227,507
10.32,227,542
10.39,227,577
10.65,262,577
10.72,297,577
10.98,297,542
11.05,297,507
11.31,332,507
11.38,367,507
11.91,367,542
11.98,367,577
12.24,402,577
12.31,437,542
12.37,472,507
12.97,507,507
13.3,507,542
13.36,507,577
13.56,542,577
13.63,577,577
13.69,612,577
14.42,647,577
14.49,682,577
14.56,717,577
14.89,717,542
14.95,717,507
15.02,717,472
15.28,717,437
15.35,717,402
15.48,717,367
15.55,717,332
15.62,717,297
15.68,717,262
15.75,717,227
15.81,717,192
15.88,717,157
16.21,682,157

=== Segment 2 Start: 15:09:24 | End: 15:09:55 ===
Time (s),x,y
1.92,45,15
1.98,75,15
5.69,75,45
5.75,75,75
5.82,75,105
5.88,75,135
6.41,105,135
6.48,135,135
6.81,135,105
6.87,135,75
6.94,135,45
7.01,135,15
7.27,165,15
7.34,195,15
7.4,225,15
7.6,255,15
7.67,285,15
7.73,315,15
8.13,315,45
8.2,315,75
8.26,315,105
8.66,315,135
8.72,315,165
8.79,315,195
9.38,345,195
9.65,375,195
9.71,405,195
9.84,435,195
9.91,465,195
9.98,495,195
10.04,525,195
10.11,555,195
10.64,555,225
10.71,555,255
11.36,525,255
11.43,495,255
11.56,465,255
11.63,435,255
11.7,405,255
11.76,375,255
12.16,375,285
12.22,375,315
12.29,375,345
12.49,375,375
12.82,405,375
12.88,435,375
13.35,435,345
13.41,435,315
13.87,465,315
13.94,495,315
14.01,525,315
14.07,555,315
14.67,555,345
14.87,555,375
14.93,555,405
15.06,555,435
15.66,525,435
15.92,495,435
15.99,465,435
16.12,435,435
16.38,435,465
16.45,435,495
16.65,435,525
16.72,405,555
17.11,435,555
17.18,465,555
17.44,495,555
17.58,525,555
17.64,555,555
18.3,555,525
18.63,585,495
19.16,615,495
19.5,615,465
20.09,615,435
20.42,645,435
20.48,675,435
20.95,675,405
21.01,675,375
22.53,645,375
22.6,615,375
22.86,615,345
22.93,615,315
23.4,645,315
23.66,675,315
24.45,675,285
24.52,675,255
26.64,645,255
26.7,615,255
26.97,615,225
27.03,615,195
27.1,615,165
27.36,615,135
27.7,645,135
27.76,675,135
28.16,675,105
28.23,675,75
28.3,675,45
28.56,645,15
29.22,615,15
29.62,585,15
29.81,555,15
30.01,525,15
30.08,495,15
30.21,465,15
30.41,435,15
30.47,405,15
30.61,375,15

=== Segment 3 Start: 15:09:55 | End: 15:10:12 ===
Time (s),x,y
0.59,45,15
0.66,75,15
0.86,105,15
1.13,135,15
1.19,165,15
1.26,195,15
1.32,225,15
1.39,255,15
2.25,255,45
2.32,255,75
2.52,255,105
2.65,255,135
2.91,285,135
3.05,315,135
3.11,345,135
3.18,375,135
3.64,375,165
3.71,375,195
3.84,375,225
3.9,375,255
4.04,375,285
4.1,375,315
4.43,345,315
4.5,315,315
4.76,315,285
4.83,315,255
5.03,285,255
5.09,255,255
5.16,225,255
5.29,195,285
5.56,195,315
5.62,195,345
5.76,195,375
5.96,195,405
6.02,195,435
6.42,225,435
6.68,255,435
6.88,285,435
7.08,315,435
7.14,345,435
7.28,375,435
7.41,405,435
7.47,435,435
7.54,465,435
7.74,495,435
7.94,525,435
8.14,555,435
12.1,555,405
12.17,555,375
12.43,525,375
12.5,495,375
12.76,495,345
12.83,495,315
13.23,525,315
13.49,555,315
13.56,585,315
13.63,615,315
13.69,645,315
13.76,675,315
14.22,675,285
14.29,675,255
14.35,675,225
14.42,675,195
14.81,705,195
14.88,735,195
15.48,735,165
15.54,735,135
15.81,705,135
15.87,675,135
16.2,675,105
16.27,675,75
16.47,675,45
16.53,675,15
16.99,705,15
17.06,735,15
17.26,735,45
17.46,735,75

=== Segment 4 Start: 15:10:12 | End: 15:10:21 ===
Time (s),x,y
