
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.71,1.4632
1.71,1.7347
2.71,0.6907
3.71,1.5533
4.71,0.0746
5.71,0.4316
6.71,1.3255
7.71,1.6099
8.71,1.9185
9.71,1.2652
10.71,1.4751
11.71,1.5456
12.71,0.6667
13.71,1.5033
14.71,1.6027
15.71,1.4784
16.71,1.7568
17.71,1.7256
18.71,0.5056
19.71,0.7514
20.71,1.7742
21.71,0.2286
22.71,0.3343
23.71,0.141
24.71,1.7714
25.71,1.4054
26.71,0.326
27.71,1.1841
28.71,0.2526
29.71,1.299
30.71,1.7708
31.71,0.2829
32.71,1.6572
33.71,0.1301
34.71,1.986
35.71,0.7071
36.71,1.2284
37.71,1.6352
38.71,1.9165
39.71,1.0167
40.71,0.1801
41.71,0.334
42.71,0.3379
43.71,1.3628
44.71,0.2826

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.49,0.3432
1.49,1.9372
2.49,1.5471
3.49,0.048
4.49,1.2071
5.49,1.766
6.49,1.0887
7.49,1.3842
8.49,0.52
9.49,1.3368
10.49,1.1264
11.49,0.0807
12.49,1.4852
13.49,0.2126
14.49,0.4435
15.49,1.3708
16.49,1.4767
17.49,1.375
18.49,1.9523
19.49,0.3872
20.49,1.544
21.49,0.8569
22.49,1.5175
23.49,1.8181
24.49,0.314
25.49,0.2164
26.49,1.2882
27.49,1.2308
28.49,1.9814
29.49,0.2579
30.49,0.4938
31.49,0.0037
32.49,1.2267
33.49,0.9411
34.49,1.4166
35.49,1.8845
36.49,0.9292
37.49,1.5531
38.49,1.6052
39.49,1.9855
40.49,0.382
41.49,0.8766
42.49,1.3426
43.49,0.6124
44.49,0.0712

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.28,1.8109
1.28,0.4504
2.28,1.1716
3.28,0.94
4.28,0.6012
5.28,1.643
6.28,1.9817
7.28,0.2731
8.28,0.315
9.29,0.4452
10.28,0.8917
11.28,0.6278
12.28,1.6508
13.28,0.7174
14.28,0.7278
15.28,0.7033
16.29,0.0278
17.28,1.089
18.28,0.7459
19.28,0.6372
20.29,0.9516
21.29,0.4722
22.28,1.1809
23.28,1.1271
24.28,1.1722
25.28,0.4009
26.28,0.8111
27.28,1.065
28.28,0.0503
29.28,0.7113
30.28,1.3457
31.28,0.5274
32.28,1.8039
33.28,1.4737
34.29,1.8876
35.28,1.5965
36.29,0.2368
37.28,0.3949
38.28,1.8082
39.28,0.8703
40.28,1.7783
41.28,0.5906
42.28,0.0141
43.28,1.1067
44.28,0.1942
