Time,Shape,Color,PressedKey,Result
2.22,triangle,grey,RIGHT,correct
3.61,triangle,red,RIGHT,correct
5.03,circle,green,LEFT,correct
9.67,circle,orange,LEFT,correct
11.32,triangle,grey,RIGHT,correct
12.78,triangle,red,RIGHT,correct
14.34,circle,pink,LEFT,correct
18.95,circle,white,LEFT,correct
20.41,triangle,orange,RIGHT,correct
21.96,square,white,RIGHT,wrong
24.94,triangle,orange,RIGHT,correct
26.44,triangle,yellow,RIGHT,correct
28.13,circle,pink,LEFT,correct
29.52,circle,green,LEFT,correct
31.08,square,pink,RIGHT,wrong
32.64,square,yellow,RIGHT,wrong
33.89,triangle,orange,RIGHT,correct
35.81,triangle,pink,RIGHT,correct
38.7,triangle,red,RIGHT,correct
40.22,circle,yellow,LEFT,correct
41.91,triangle,grey,RIGHT,correct
44.86,triangle,blue,RIGHT,correct
