Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.62,1.3414
1.62,0.2535
2.62,1.0303
3.62,1.6762
4.62,1.8851
5.62,0.5561
6.62,0.2117
7.62,0.3549
8.62,0.9015
9.62,1.1018
10.62,0.8007
11.62,1.7461
12.62,0.5996
13.62,0.4305
14.62,1.0233
15.62,0.0751
16.62,0.6281
17.62,1.6823
18.62,0.5709
19.62,1.9282
20.62,1.9048
21.62,0.656
22.62,1.5705
23.62,0.0126
24.62,1.2245
25.62,0.0515
26.62,0.6691
27.62,1.9796
28.62,0.5489
29.62,0.7074
30.62,0.066
31.62,1.2826
32.62,0.4805
33.62,0.2952
34.62,1.439
35.62,1.4705
36.62,0.0755
37.62,0.6048
38.62,1.8574
39.62,0.9514
40.62,0.0444
41.62,1.8429
42.62,1.2098
43.62,0.2371
44.62,1.7695
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.43,0.9006
1.43,1.5914
2.43,1.137
3.43,0.3408
4.43,0.019
5.43,0.1627
6.43,0.323
7.43,1.4362
8.43,1.8391
9.43,1.6535
10.43,0.6693
11.43,1.6526
12.43,1.4816
13.43,0.2815
14.43,1.9552
15.43,1.7355
16.43,0.985
17.43,0.9308
18.43,0.1221
19.43,0.6229
20.44,0.0837
21.44,0.1013
22.43,0.3678
23.43,1.8002
24.43,1.334
25.43,1.053
26.43,1.526
27.43,1.6142
28.43,0.9033
29.43,1.1828
30.43,0.7132
31.43,1.2834
32.43,1.6073
33.44,1.5956
34.43,1.142
35.43,0.4065
36.43,1.0872
37.43,1.7463
38.43,1.8638
39.43,1.3269
40.43,0.3521
41.43,0.7223
42.43,0.8342
43.43,0.105
44.43,1.8986
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.23,1.1879
1.23,0.4688
2.23,0.5015
3.23,0.1308
4.23,0.9202
5.23,0.5842
6.23,1.9184
7.23,0.9701
8.23,1.6576
9.23,0.5142
10.23,0.0013
11.23,1.3548
12.23,0.972
13.23,1.7228
14.23,0.0666
15.23,0.2998
16.23,0.5883
17.23,0.0826
18.23,1.6518
19.23,0.5098
20.23,0.1233
21.23,0.086
22.23,0.2387
23.23,1.0772
24.23,0.4623
25.23,1.8149
26.23,0.6323
27.23,1.2353
28.23,0.083
29.23,1.0201
30.23,1.4478
31.23,1.7348
32.23,0.4644
33.23,0.255
34.23,1.7383
35.23,1.1274
36.23,0.0174
37.23,1.209
38.23,1.1912
39.23,0.279
40.23,1.0631
41.23,0.5717
42.23,1.4359
43.23,1.8543
44.23,1.3672
