
Level: target_lvl1
Time,Entropy
0.07,1.3466
1.07,1.3934
2.07,1.2751
3.07,0.1125
4.07,1.0868
5.07,0.6158
6.07,1.683
7.07,0.903
8.07,0.8632
9.07,1.9835
10.07,0.2
11.07,1.977
12.07,1.8376
13.07,1.6879
14.07,1.7957
15.07,0.7594
16.07,0.5907
17.07,0.8607
18.07,0.132
19.07,0.2235
20.07,0.7441
21.07,0.976
22.07,1.8878
23.07,0.8464
24.07,1.7512
25.07,0.1026
26.07,0.581
27.07,0.7096
28.07,1.2354
29.07,1.1111
30.07,0.2193
31.07,1.3594
32.07,1.3872
33.07,0.3385
34.07,0.3427
35.07,0.3246
36.07,1.582
37.07,0.8553
38.07,1.3317
39.07,0.3005
40.07,0.1727
41.07,1.5341
42.07,1.0579
43.07,1.7703
44.07,0.5929
45.07,0.9626
46.07,1.8296
47.07,1.9844
48.07,0.6525
49.07,0.5332
50.07,1.0561
51.07,1.6784
52.07,1.0733
53.07,1.4568
54.07,1.7281
55.07,1.9868
56.07,1.8687
57.07,0.6598
58.07,1.4302
59.07,1.3817
60.07,1.2412
61.07,1.1856
62.07,0.2696
63.07,0.9882
64.07,1.2457
65.07,0.308
66.07,1.645
67.07,1.81
68.07,1.5889
69.07,0.4132
70.07,0.5656
71.07,1.5847
72.07,1.4153
73.07,0.8862
74.07,0.4299
75.07,0.612
76.07,0.7235
77.07,0.5374
78.07,1.938
79.07,1.2695
80.07,1.1021
81.07,1.8502
82.07,1.5264
83.07,0.3983
84.07,1.4131
85.07,1.2179
86.07,0.7714
87.07,0.8298
88.07,1.3492
89.07,1.0985
90.07,1.7603
91.07,1.5539
92.07,0.0816
93.07,1.7329
94.07,1.6479
95.07,0.7353
96.07,1.2954
97.07,0.4465
98.07,1.5929
99.07,1.3311
100.07,1.6876
101.07,1.316
102.07,1.7795
103.07,0.6522
104.07,0.5303
105.07,0.9772
106.07,1.9873
107.07,0.7506
108.07,0.2523
109.07,0.5642
110.07,1.1314
111.07,1.1283
112.07,0.8122
113.07,0.9932
114.07,0.4689
115.07,0.9138
116.07,1.1069
117.07,0.9065
118.07,0.7015
119.07,1.1713

Level: target_lvl2
Time,Entropy
0.35,0.1915
1.35,1.067
2.35,1.9845
3.35,0.9476
4.35,0.4985
5.35,0.0093
6.35,0.7919
7.35,1.9131
8.35,0.7835
9.35,1.3105
10.35,1.7702
11.35,0.3378
12.35,1.3945
13.35,0.1581
14.35,0.431
15.35,0.8598
16.35,1.1369
17.35,0.0374
18.35,0.8131
19.35,0.3717
20.35,0.0468
21.35,1.0435
22.35,0.4663
23.35,0.3095
24.35,0.2664
25.35,0.4441
26.35,0.8119
27.35,0.5079
28.35,1.7948
29.35,0.1368
30.35,1.5076
31.35,0.5761
32.35,1.0979
33.35,0.4759
34.35,1.8665
35.35,0.8009
36.35,0.0504
37.35,0.9539
38.35,0.6585
39.35,0.8244
40.35,0.667
41.35,0.9903
42.35,1.0827
43.35,1.8043
44.35,1.4634
45.35,0.2188
46.35,1.9117
47.35,1.389
48.35,1.9607
49.35,0.3019
50.35,1.2099
51.35,1.036
52.35,1.4203
53.35,0.4564
54.35,1.4173
55.35,0.9334
56.35,0.283
57.35,0.6047
58.35,0.5325
59.35,1.9993
60.35,1.439
61.35,1.0086
62.35,0.6633
63.35,1.0105
64.35,0.8604
65.35,1.0758
66.35,1.4866
67.35,1.5891
68.35,0.4579
69.35,1.3308
70.35,1.7416
71.35,0.7914
72.35,1.6832
73.35,0.8259
74.35,1.2696
75.35,1.7346
76.35,0.3185
77.35,0.2109
78.35,1.717
79.35,1.3696
80.35,1.3425
81.35,0.8223
82.35,0.3667
83.35,1.2561
84.35,0.3465
85.35,0.0608
86.35,0.8759
87.35,1.3885
88.35,1.7889
89.35,1.4373
90.35,0.7101
91.35,0.5544
92.35,1.8515
93.35,1.8534
94.35,1.1471
95.35,0.5999
96.35,0.7644
97.35,1.3693
98.35,1.7113
99.35,0.5375
100.35,0.4585
101.35,1.9392
102.35,1.133
103.35,0.4274
104.35,0.8707
105.35,0.1191
106.35,1.094
107.35,1.4641
108.35,0.6778
109.35,0.6586
110.35,1.3738
111.35,1.3811
112.35,1.6049
113.35,0.5862
114.35,0.7654
115.35,0.0857
116.35,1.5968
117.35,1.3348
118.35,1.6725
119.35,0.9032
